State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Arunachal Pradesh,Anjaw,Chaglagam,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,911,911
Arunachal Pradesh,Anjaw,Hawai-walong,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1564,1564
Arunachal Pradesh,Anjaw,Hayuliang,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,1738,1738
Arunachal Pradesh,Anjaw,Manchal,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,966,966
Arunachal Pradesh,Changlang,Bordumsa,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,4853,4853
Arunachal Pradesh,Changlang,Changlang,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1526,1526
Arunachal Pradesh,Changlang,Diyun,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6826,6826
