State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Assam,Bajali,Bajali,467,2,29,1354,0,10,773,123,14,633,269,45,3455,2175,139,9945,9285,228,17018,17018
Assam,Bajali,Bhabanipur,316,0,18,1215,0,4,756,117,6,695,263,8,732,446,64,8147,7293,216,27284,27284
Assam,BAKSA,Barama,256,0,4,330,0,7,1187,142,8,839,286,14,1450,957,80,5845,5489,143,10260,10260
Assam,BAKSA,Baska,439,3,49,1769,0,23,1451,163,14,816,337,25,2695,1627,113,7346,6810,212,14440,14440
Assam,BAKSA,Dhamdhama,400,7,32,1103,0,11,583,66,5,264,123,18,1196,766,114,5933,5593,213,12764,12764
Assam,BAKSA,Gobardhana,264,0,31,2845,0,11,1262,140,32,4473,1753,28,4719,2777,96,12753,12042,66,7002,7002
Assam,BAKSA,Jalah,527,0,59,3214,0,13,1027,129,10,1541,644,32,3821,2379,159,10354,9782,254,17620,17620
