State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Bihar,Araria,Araria,247,0,0,0,0,0,0,0,0,0,0,1,230,145,3,669,593,243,62714,62714
Bihar,Araria,Bhargama,157,0,0,0,0,0,0,0,3,501,174,7,1314,832,14,4750,4535,133,39467,39467
Bihar,Araria,Forbesganj,399,0,4,215,0,0,0,0,1,155,47,3,348,196,10,1387,1224,381,87713,87713
Bihar,Araria,Jokihat,313,0,1,50,0,1,80,2,0,0,0,5,431,273,12,1712,1609,294,60775,60775
Bihar,Araria,Kursakanta,306,0,6,327,0,8,407,43,7,534,219,3,103,62,9,939,846,273,31515,31515
Bihar,Araria,Narpatganj,275,0,0,0,0,1,32,6,0,0,0,4,949,558,8,1981,1876,262,67655,67655
Bihar,Araria,Palasi,391,0,0,0,0,2,95,20,0,0,0,3,315,201,10,1899,1828,376,58325,58325
