State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Chhattisgarh,Balod,Balod,120,1,0,0,0,5,647,106,5,1067,373,13,2521,1609,67,17102,15851,29,3592,3592
Chhattisgarh,Balod,Dondi,128,0,5,133,0,9,764,14,6,1051,423,16,2804,1772,86,17943,16077,6,623,623
Chhattisgarh,Balod,Dondilohara,284,0,38,1217,0,29,3291,163,16,2807,1181,36,6560,4181,135,29278,27074,30,2958,2958
Chhattisgarh,Balod,Gunderdehi,209,1,14,551,0,5,485,67,5,881,355,23,4745,3093,125,33826,31485,36,8184,8184
Chhattisgarh,Balod,Gurur,152,0,1,13,0,5,514,100,5,874,367,19,2179,1424,93,23829,20945,29,5719,5719
Chhattisgarh,Balodabazar-Bhatapara,Baloda Bazar,187,1,5,573,0,19,2839,311,14,3292,1155,31,11261,7074,69,22582,20180,48,12903,12903
Chhattisgarh,Balodabazar-Bhatapara,Bhatapara,113,0,1,23,0,12,2352,168,7,2468,905,17,5053,3130,51,15352,14078,25,7348,7348
