State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Jammu & Kashmir,Anantnag,Achabal,54,0,0,0,0,1,22,3,2,109,44,4,1512,917,24,6411,5846,23,3535,3535
Jammu & Kashmir,Anantnag,Anantnag,50,0,0,0,0,1,61,13,1,86,25,2,300,217,16,4239,4081,30,5270,5270
Jammu & Kashmir,Anantnag,Bijibehara,92,0,0,0,0,2,80,11,3,138,61,3,522,375,29,5020,4793,55,8572,8572
Jammu & Kashmir,Anantnag,Breng,43,0,0,0,0,1,55,3,2,238,118,6,1920,1183,18,8019,7098,16,2226,2226
Jammu & Kashmir,Anantnag,Chathergul,37,0,0,0,0,4,327,46,3,313,113,5,742,432,9,1821,1710,16,1499,1499
Jammu & Kashmir,Anantnag,Dachnipora,68,0,0,0,0,1,20,2,0,0,0,1,39,28,39,6585,6385,27,4709,4709
Jammu & Kashmir,Anantnag,Hiller Shahabad,44,0,0,0,0,2,166,12,0,0,0,6,675,456,6,956,849,30,2331,2331
