State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Karnataka,Bagalkote,Badami,124,0,0,0,0,4,577,115,4,1368,529,10,3158,1988,28,12070,11118,78,29602,29602
Karnataka,Bagalkote,Bagalkot,124,9,11,1640,0,13,7080,1107,8,4653,1871,14,4196,2524,11,5200,4760,58,26821,26821
Karnataka,Bagalkote,Bilagi,93,1,25,2820,0,10,3532,390,9,5848,2076,2,1528,1023,5,2344,2155,41,18629,18629
Karnataka,Bagalkote,GULEDAGUDDA,40,0,0,0,0,0,0,0,0,0,0,1,310,228,7,3370,3039,32,11558,11558
Karnataka,Bagalkote,Hungund,84,0,5,1300,0,6,1682,144,4,576,219,7,1795,1244,25,9492,8715,37,10885,10885
Karnataka,Bagalkote,ILKAL,81,0,4,883,0,3,1098,198,3,6669,2985,11,2771,1781,27,9588,8837,33,10367,10367
Karnataka,Bagalkote,Jamkhandi,228,6,69,1074,0,1,350,86,2,56,24,1,7,4,5,306,275,144,40575,40575
