State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Maharashtra,Ahmednagar,Akole,691,1,56,1510,0,65,3205,341,68,3791,1433,38,4002,2515,73,9113,8049,390,35809,35809
Maharashtra,Ahmednagar,Jamkhed,320,0,3,74,0,7,228,35,9,439,171,11,555,337,20,1940,1835,270,22436,22436
Maharashtra,Ahmednagar,Karjat,746,0,111,3833,0,73,3803,506,79,5109,1872,63,4074,2470,99,9601,8762,321,23399,23399
Maharashtra,Ahmednagar,Kopargaon,438,9,33,794,0,14,910,64,20,1125,429,31,2433,1554,62,13758,12745,269,40520,40520
Maharashtra,Ahmednagar,Nagar,808,18,58,1432,0,58,3337,318,49,3173,1121,61,5846,3795,55,6535,5768,509,53365,53365
Maharashtra,Ahmednagar,Nevasa,406,0,17,559,0,21,2206,241,32,4082,1422,25,5114,3003,58,13908,12878,253,45154,45154
Maharashtra,Ahmednagar,Parner,729,0,67,2148,0,144,6964,762,76,4982,1932,77,4728,3029,78,12365,11062,287,23738,23738
