State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Manipur,Bishnupur,Bishnupur,34,0,1,68,0,2,535,35,5,1405,619,7,5956,4045,15,9655,9235,4,1072,1072
Manipur,Bishnupur,Moirang,56,0,12,1217,0,4,1521,257,5,2549,992,10,4199,2537,21,3882,3596,4,945,945
Manipur,Chandel,Chakpikarong,122,0,2,40,0,12,265,24,19,602,230,32,2288,1435,37,2724,2440,20,1204,1204
Manipur,Chandel,Chandel,104,0,0,0,0,13,516,49,16,919,351,28,2216,1364,36,4155,3775,11,1115,1115
Manipur,Chandel,Khengjoy,59,0,1,24,0,3,70,6,2,95,35,29,1663,1065,12,798,733,12,781,781
Manipur,Churachandpur,Henglep,149,0,1,4,0,1,65,12,1,13,6,8,285,170,58,2058,1826,80,3292,3292
Manipur,Churachandpur,Lamka,51,0,0,0,0,1,19,4,1,1493,672,3,1858,1203,43,9620,8911,3,169,169
