State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Meghalaya,East Garo Hills,Dambo Rongjeng,235,0,1,25,0,5,306,47,7,278,107,22,1174,754,49,3561,3208,151,10035,10035
Meghalaya,East Garo Hills,Samanda,264,0,8,125,0,7,382,58,12,548,198,23,896,559,27,1857,1585,187,8230,8230
Meghalaya,East Garo Hills,Songsak,245,0,2,66,0,9,706,51,10,623,212,20,1078,695,36,2260,1917,168,7802,7802
Meghalaya,East Jaintia Hills,Saipung,97,0,9,517,0,20,2425,285,10,692,222,8,523,316,11,1030,935,39,2556,2556
Meghalaya,East Jaintia Hills,Wapung,135,0,10,758,0,21,4149,349,21,3250,1160,18,1779,1119,27,5160,4424,38,3018,3018
Meghalaya,East Khasi Hills,Khadarshnong-Laitkroh,144,1,44,3033,0,3,372,10,0,0,0,0,0,0,3,595,488,93,5176,5176
Meghalaya,East Khasi Hills,Mawkynrew,203,0,0,0,0,1,87,5,0,0,0,1,430,312,5,766,660,196,9769,9769
