State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Odisha,Anugul,Anugul,1172,4,487,11132,0,26,2635,299,6,436,204,20,675,401,44,3158,2971,585,22838,22838
Odisha,Anugul,Athmallik,776,0,496,14744,0,90,3896,317,22,1271,460,17,951,576,52,3678,3235,99,4013,4013
Odisha,Anugul,Banarpal,547,4,110,5020,0,13,2267,211,7,1850,724,5,1337,821,13,3160,2892,395,37852,37852
Odisha,Anugul,Chhendipada,801,0,3,11,0,1,5,1,3,66,28,12,221,124,22,1748,1684,760,37331,37331
Odisha,Anugul,Kaniha,950,0,68,2202,0,10,642,115,18,843,344,83,3768,2498,56,2512,2210,715,34296,34296
Odisha,Anugul,Kishorenagar,875,0,713,18241,0,25,1191,143,6,151,47,11,563,360,49,4669,4293,71,3111,3111
Odisha,Anugul,Palalahada,1009,0,112,2388,0,54,1916,188,43,1422,557,131,6421,4164,125,6675,5926,544,18216,18216
