State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Punjab,Amritsar,AJNALA,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,26983,26983
Punjab,Amritsar,Attari,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,23262,23262
Punjab,Amritsar,Chogawan,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,23653,23653
Punjab,Amritsar,Harshe Chhina,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,19325,19325
Punjab,Amritsar,Jandiala Guru,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,18098,18098
Punjab,Amritsar,MAJITHA,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,25598,25598
Punjab,Amritsar,Rayya,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,28854,28854
