State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Rajasthan,Ajmer,Ajmer Rural,214,1,94,11906,0,17,6034,738,17,4175,1735,9,3583,2129,17,5093,4528,59,15867,15867
Rajasthan,Ajmer,Arain,110,1,51,4686,0,4,245,7,2,63,27,9,1367,769,4,1567,1350,39,6973,6973
Rajasthan,Ajmer,Kishangarh Silora,377,1,297,19309,0,3,228,33,2,104,38,6,2530,1465,5,1909,1726,63,10816,10816
Rajasthan,Ajmer,Pisangan,151,0,48,2725,0,14,2542,224,18,2103,786,9,2625,1661,13,3566,3124,49,12702,12702
Rajasthan,Ajmer,Srinagar,146,0,63,10957,0,1,39,6,0,0,0,1,52,36,1,280,267,80,14920,14920
Rajasthan,Alwar,Govindgarh,359,45,247,12260,0,7,1221,58,2,40,17,7,999,675,13,1247,1134,38,2913,2913
Rajasthan,Alwar,Kathumar,151,10,95,9218,0,10,4916,305,9,2825,877,2,788,540,2,43,34,23,5848,5848
