State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Tamil Nadu,Ariyalur,Andimadam,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,33296,33296
Tamil Nadu,Ariyalur,Ariyalur,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,37066,37066
Tamil Nadu,Ariyalur,Jayamkondam,156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,715,683,155,34315,34315
Tamil Nadu,Ariyalur,Sendurai,91,0,0,0,0,0,0,0,0,0,0,4,4703,3018,2,1735,1483,85,25541,25541
Tamil Nadu,Ariyalur,T. Palur,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,33024,33024
Tamil Nadu,Ariyalur,Thirumanur,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,37108,37108
Tamil Nadu,Chengalpattu,Acharapakkam,285,0,27,2464,0,20,3119,296,13,2014,742,5,820,552,2,105,92,218,22152,22152
