State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Uttar Pradesh,Agra,Achhnera,103,0,18,1205,0,37,13042,478,8,2409,697,3,1099,654,3,1116,889,34,12284,12284
Uttar Pradesh,Agra,Akola,94,0,36,4885,0,33,8607,315,1,520,173,5,1762,1099,1,463,372,18,5109,5109
Uttar Pradesh,Agra,Bah,203,0,113,6678,0,75,12835,313,2,251,106,0,0,0,0,0,0,13,4500,4500
Uttar Pradesh,Agra,Barauli Ahir,194,0,95,10916,0,52,19013,745,6,729,238,6,1038,663,2,105,87,33,8499,8499
Uttar Pradesh,Agra,Bichpuri,66,2,19,3164,0,23,13183,104,2,721,236,2,906,603,2,317,252,16,5945,5945
Uttar Pradesh,Agra,Etmadpur,195,0,79,5720,0,53,11780,360,5,1140,441,0,0,0,0,0,0,58,8420,8420
Uttar Pradesh,Agra,Fatehabad,368,2,178,10090,0,88,11736,767,21,2932,1022,18,2415,1535,9,1348,1112,52,5794,5794
