State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Uttarakhand,Almora,Bhaisiya Chhana,345,0,41,581,0,14,301,22,7,112,46,11,249,159,16,392,352,256,4229,4229
Uttarakhand,Almora,Bhikiyasain,319,0,0,0,0,11,261,35,5,227,92,9,370,245,9,360,320,285,6421,6421
Uttarakhand,Almora,Chaukhutiya,293,0,14,210,0,27,947,90,8,201,66,31,1093,700,37,1438,1277,176,5626,5626
Uttarakhand,Almora,Dhauladevi,767,0,56,592,0,17,279,32,15,268,94,19,302,188,52,1501,1388,608,9420,9420
Uttarakhand,Almora,Dwarahat,465,0,33,385,0,27,924,93,18,301,105,35,1595,1024,48,2068,1893,304,9591,9591
Uttarakhand,Almora,Hawalbag,435,0,28,609,0,29,1022,103,17,1873,774,23,865,521,53,2783,2580,285,9238,9238
Uttarakhand,Almora,Lamgara,537,5,38,317,0,18,437,34,20,499,187,28,523,332,33,1116,987,395,7495,7495
