State,District,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Arunachal Pradesh,Anjaw,Chaglagam,48,5,6,56,0,7,202,33,9,113,39,2,24,14,0,0,0,19,517,517
Arunachal Pradesh,Anjaw,Hawai-walong,99,20,6,34,0,10,172,20,17,331,99,7,102,63,2,33,29,37,830,830
Arunachal Pradesh,Anjaw,Hayuliang,108,12,26,359,0,22,454,66,20,303,101,3,48,26,2,80,62,23,568,568
Arunachal Pradesh,Anjaw,Manchal,62,5,7,74,0,10,277,29,15,261,88,7,80,45,0,0,0,18,235,235
Arunachal Pradesh,Changlang,Bordumsa,61,11,18,1438,0,0,0,0,2,216,92,1,65,43,0,0,0,29,2402,2402
Arunachal Pradesh,Changlang,Changlang,39,0,4,306,0,7,288,25,2,104,34,3,90,57,12,472,427,11,365,365
Arunachal Pradesh,Changlang,Diyun,60,20,21,3058,0,1,183,15,0,0,0,0,0,0,0,0,0,18,1527,1527
Arunachal Pradesh,Changlang,Khagam-Miao,83,12,16,1192,0,1,305,55,0,0,0,0,0,0,2,196,177,52,2787,2787
Arunachal Pradesh,Changlang,Khimiyang,46,2,6,241,0,4,135,5,2,130,36,5,106,77,17,624,526,10,279,279
Arunachal Pradesh,Changlang,MANMAO,45,2,8,221,0,1,44,10,2,28,13,6,170,109,12,309,266,14,431,431
Arunachal Pradesh,Changlang,Nampong,44,4,10,154,0,3,71,15,3,72,26,7,378,234,9,209,172,8,249,249
Arunachal Pradesh,Changlang,Vijoynagar,41,10,13,549,0,1,180,1,0,0,0,0,0,0,0,0,0,17,997,997
Arunachal Pradesh,Changlang,Yatdam,30,0,6,95,0,3,126,13,3,77,29,4,148,102,4,162,146,10,274,274
Arunachal Pradesh,Dibang Valley,,20,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,83,83
Arunachal Pradesh,Dibang Valley,Anelih Arzu,58,16,7,14,0,1,12,1,0,0,0,1,3,2,0,0,0,33,319,319
Arunachal Pradesh,Dibang Valley,Anini-Mepi,63,4,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1150,1150
Arunachal Pradesh,Dibang Valley,Etalin Malinye,52,7,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0,34,334,334
Arunachal Pradesh,East Kameng,Bameng,62,22,25,410,0,0,0,0,0,0,0,1,47,28,4,107,102,10,142,142
Arunachal Pradesh,East Kameng,Bana,75,7,6,160,0,0,0,0,2,31,11,7,86,54,26,483,425,27,402,402
Arunachal Pradesh,East Kameng,Chayangtajo,48,16,21,223,0,0,0,0,0,0,0,0,0,0,5,336,299,6,83,83
Arunachal Pradesh,East Kameng,Khenewa,67,30,18,206,0,2,18,3,1,20,7,2,43,27,4,81,74,10,112,112
Arunachal Pradesh,East Kameng,Pipu,53,17,1,12,0,18,280,24,3,20,5,4,43,28,2,19,16,8,108,108
Arunachal Pradesh,East Kameng,Sawa,27,4,10,120,0,1,20,2,0,0,0,1,30,22,2,54,45,9,73,73
Arunachal Pradesh,East Kameng,Seppa,54,11,12,167,0,0,0,0,0,0,0,2,12,8,8,195,180,21,256,256
Arunachal Pradesh,East Siang,Mebo,54,17,11,671,0,1,93,4,2,204,91,6,298,192,2,150,138,15,627,627
Arunachal Pradesh,East Siang,Pasighat,73,19,11,380,0,5,139,23,5,146,58,3,100,62,6,237,223,24,1196,1196
Arunachal Pradesh,East Siang,Ruksin,82,40,8,552,0,2,172,6,2,108,37,1,10,7,3,160,128,26,999,999
Arunachal Pradesh,Kamle,Puchi Geko,104,47,19,289,0,1,13,2,3,71,31,4,59,40,7,118,108,23,391,391
Arunachal Pradesh,Kamle,Tamen-Raga,175,69,16,134,0,6,182,28,8,207,82,7,233,131,4,61,54,65,1750,1750
Arunachal Pradesh,Kra Daadi,,41,20,10,177,0,0,0,0,0,0,0,7,125,83,0,0,0,4,32,32
Arunachal Pradesh,Kra Daadi,Chambang,63,33,5,56,0,0,0,0,3,71,34,5,62,37,3,32,27,14,337,337
Arunachal Pradesh,Kra Daadi,Gangte,72,45,3,41,0,2,23,4,1,15,5,6,74,45,7,117,105,8,122,122
Arunachal Pradesh,Kra Daadi,Palin,88,41,10,177,0,2,28,4,1,15,7,4,128,82,9,335,293,21,781,781
Arunachal Pradesh,Kra Daadi,Pipsorang,37,17,5,251,0,2,222,13,0,0,0,3,128,86,4,160,131,6,137,137
Arunachal Pradesh,Kra Daadi,Tali,54,22,4,91,0,7,249,24,1,48,16,0,0,0,1,44,37,19,766,766
Arunachal Pradesh,Kra Daadi,Yangte,42,18,1,5,0,3,109,12,3,54,16,5,98,57,11,357,308,1,12,12
Arunachal Pradesh,Kurung Kumey,Damin,55,19,16,434,0,2,20,2,1,9,4,7,117,67,1,14,11,9,119,119
Arunachal Pradesh,Kurung Kumey,Koloriang,86,34,16,227,0,0,0,0,1,27,9,2,30,21,7,104,93,26,462,462
Arunachal Pradesh,Kurung Kumey,Nyapin,97,20,22,302,0,1,19,3,7,78,25,6,68,40,4,62,49,37,541,541
Arunachal Pradesh,Kurung Kumey,Parsiparlo,77,18,23,440,0,1,13,1,0,0,0,8,215,124,2,46,42,25,620,620
Arunachal Pradesh,Kurung Kumey,Sangram,112,36,12,265,0,0,0,0,0,0,0,1,40,26,1,15,14,62,1214,1214
Arunachal Pradesh,Kurung Kumey,Sarli,51,26,19,251,0,0,0,0,1,19,9,0,0,0,1,10,8,4,91,91
Arunachal Pradesh,Leparada,Basar,66,11,13,250,0,2,62,12,3,153,68,5,86,55,6,352,325,26,533,533
Arunachal Pradesh,Leparada,Daring,26,9,4,102,0,0,0,0,0,0,0,1,11,8,4,68,58,8,206,206
Arunachal Pradesh,Leparada,Tirbin,55,9,16,217,0,0,0,0,1,8,2,2,274,152,8,129,120,19,324,324
Arunachal Pradesh,Lohit,Tezu,85,13,23,752,0,7,507,66,2,140,40,5,748,431,15,793,734,20,777,777
Arunachal Pradesh,Lohit,Wakro,55,13,19,627,0,5,485,27,2,66,17,12,852,478,4,108,91,0,0,0
Arunachal Pradesh,Longding,Kanubari,51,7,27,1516,0,2,133,11,1,420,122,5,313,218,4,108,88,5,161,161
Arunachal Pradesh,Longding,Niausa,41,13,14,1288,0,7,812,83,0,0,0,4,360,249,0,0,0,3,182,182
Arunachal Pradesh,Longding,Pongchau,17,8,0,0,0,4,517,25,1,155,40,0,0,0,0,0,0,4,468,468
Arunachal Pradesh,Longding,Wakka,23,5,6,481,0,8,1146,70,0,0,0,3,269,185,0,0,0,1,53,53
Arunachal Pradesh,Lower Dibang Valley,Dambuk,95,27,14,248,0,1,12,1,2,82,37,6,141,86,9,171,144,36,625,625
Arunachal Pradesh,Lower Dibang Valley,Hunli-Kronli,57,20,23,318,0,0,0,0,1,32,11,1,24,14,0,0,0,12,120,120
Arunachal Pradesh,Lower Dibang Valley,Roing,226,66,30,3454,0,0,0,0,1,30,11,1,33,20,2,61,51,126,3135,3135
Arunachal Pradesh,Lower Siang,Gensi,62,18,7,32,0,5,311,60,4,62,18,3,49,29,4,72,59,21,349,349
Arunachal Pradesh,Lower Siang,Likabali,72,14,11,197,0,1,9,1,4,90,29,3,61,34,4,845,792,35,982,982
Arunachal Pradesh,Lower Siang,Ramle Bango,73,20,17,349,0,2,238,37,0,0,0,0,0,0,10,306,281,24,546,546
Arunachal Pradesh,Lower Subansiri,Hong-Hari,136,88,2,14,0,2,223,13,0,0,0,0,0,0,1,27,26,43,876,876
Arunachal Pradesh,Lower Subansiri,Pistana,70,20,4,62,0,0,0,0,2,68,19,7,136,86,0,0,0,37,492,492
Arunachal Pradesh,Lower Subansiri,Ziro-I,134,67,11,98,0,5,307,22,3,239,94,5,307,187,2,239,210,41,1431,1431
