State,District,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Assam,BAKSA,,429,301,69,5635,0,20,3350,383,17,3536,1247,7,416,276,10,699,595,5,267,267
Assam,BAKSA,,344,281,37,3526,0,20,1534,87,1,175,51,2,256,152,1,46,44,2,62,62
Assam,BAKSA,,431,166,159,10810,0,69,6005,529,15,1070,354,8,424,267,7,544,476,7,416,416
Assam,BAKSA,,147,66,26,2576,0,50,4446,195,3,392,112,1,9,5,0,0,0,1,30,30
Assam,BAKSA,Barama,256,68,108,8321,0,30,2531,146,13,1075,404,17,1020,629,8,584,523,12,762,762
Assam,BAKSA,Baska,437,133,206,12013,0,49,4296,371,13,968,388,16,1263,759,11,515,440,9,537,537
Assam,BAKSA,Dhamdhama,403,106,161,8195,0,53,3072,130,13,920,347,5,418,255,17,861,754,48,1523,1523
Assam,BAKSA,Gobardhana,267,71,128,16181,0,40,6903,388,12,1213,443,6,545,327,7,366,304,3,230,230
Assam,BAKSA,Jalah,527,221,211,12800,0,40,3596,287,9,802,263,7,596,346,13,873,772,26,1823,1823
Assam,Barpeta,,458,172,136,13684,0,15,2628,375,21,2422,878,30,3918,2419,49,6475,5444,35,3144,3144
Assam,Barpeta,,475,174,158,9709,0,21,1239,132,16,941,361,30,2092,1321,49,3896,3341,27,1701,1701
Assam,Barpeta,Barpeta,291,177,68,6107,0,11,2231,103,4,415,130,4,463,285,8,1014,913,19,1855,1855
Assam,Barpeta,Chakchaka,331,170,62,5493,0,4,353,40,1,45,21,7,424,255,36,2538,2195,51,3059,3059
Assam,Barpeta,Chenga,221,96,76,6434,0,20,2883,336,3,318,142,2,213,109,5,816,685,19,2183,2183
Assam,Barpeta,Gobardhana,107,28,24,4548,0,10,2893,345,13,2498,1024,12,1982,1287,10,1779,1534,10,1048,1048
Assam,Barpeta,Gomaphulbari,146,100,26,2628,0,7,1467,52,1,161,80,2,610,407,6,750,648,4,780,780
Assam,Barpeta,Mandia,593,497,60,12856,0,8,1303,17,6,1183,398,5,1337,791,14,2327,2012,3,425,425
Assam,Barpeta,Pakabetbari,227,151,25,3961,0,10,1675,218,7,1391,504,11,2051,1371,11,1502,1349,12,937,937
Assam,Barpeta,Ruposhi,299,239,30,4202,0,6,956,167,3,253,90,5,586,386,10,1071,942,6,398,398
Assam,Barpeta,Sarukhetri,232,104,45,4762,0,9,908,109,1,101,48,9,747,457,20,2352,2099,44,3802,3802
Assam,Biswanath,Baghmara,298,155,84,4992,0,34,3955,428,9,534,190,4,263,155,5,350,299,7,223,223
Assam,Biswanath,Behali,328,107,144,6890,0,41,3308,360,11,453,170,12,637,402,3,125,110,10,205,205
Assam,Biswanath,Biswanath,162,69,46,3663,0,30,3845,360,12,1707,574,2,65,34,2,310,289,1,137,137
Assam,Biswanath,Chaiduar,662,402,203,10203,0,31,1973,215,13,736,247,5,258,152,2,65,51,6,110,110
Assam,Biswanath,Pub Chaiduar,494,280,175,10484,0,20,2443,197,12,658,246,3,106,65,1,25,20,3,74,74
Assam,Biswanath,Sakomatha,278,137,85,6696,0,27,2616,226,17,1479,569,6,463,279,3,163,155,3,313,313
Assam,Biswanath,Sootea,560,349,69,2452,0,50,5832,443,14,1317,465,23,1281,758,9,468,416,46,1071,1071
Assam,Bongaigaon,Boitamari,531,202,264,16403,0,17,1152,144,15,1041,366,10,617,376,8,619,535,15,862,862
Assam,Bongaigaon,Dangtol,381,125,192,12934,0,12,770,86,7,553,206,8,557,318,6,384,334,31,871,871
Assam,Bongaigaon,Manikpur,395,204,146,10460,0,11,2117,188,12,1569,524,3,249,164,6,454,379,13,578,578
Assam,Bongaigaon,Srijangram,560,339,122,6615,0,34,3135,326,10,722,274,6,561,346,7,579,504,42,1819,1819
Assam,Bongaigaon,Tapattary,457,223,155,9373,0,23,1853,212,14,1035,371,9,740,472,8,558,478,25,1116,1116
Assam,Cachar,Banskandi,137,43,40,4814,0,4,791,83,13,1779,645,15,1377,840,17,1926,1644,5,654,654
Assam,Cachar,Barjalenga,235,77,112,7929,0,5,1818,336,11,1818,660,7,946,623,11,1072,929,12,396,396
Assam,Cachar,Binnakandi,117,48,33,5205,0,19,4734,432,3,927,385,4,1994,1223,5,1130,1002,5,813,813
Assam,Cachar,Borkhola,311,48,118,8805,0,20,3209,499,17,1967,747,26,2870,1781,51,5389,4778,31,1899,1899
Assam,Cachar,Kalain,278,19,120,11581,0,75,13580,920,17,2783,1138,12,1755,1002,21,3814,3479,14,734,734
Assam,Cachar,Katigorah,129,10,41,4699,0,45,10063,986,8,2259,796,8,737,465,16,2465,2211,1,426,426
Assam,Cachar,Lakhipur,104,49,23,1974,0,5,1058,216,7,2875,885,8,1060,662,9,1359,1154,3,957,957
Assam,Cachar,Narsingpur,322,107,129,15838,0,19,4904,700,11,1792,702,22,3146,1897,19,3566,2935,15,1280,1280
Assam,Cachar,Palonghat,248,51,111,8320,0,11,2237,184,13,1388,550,11,701,436,35,3566,3241,16,1324,1324
Assam,Cachar,Rajabazar,254,157,43,3247,0,15,4963,891,14,2479,916,7,642,447,16,1444,1274,2,131,131
Assam,Cachar,Salchapra,90,1,24,2327,0,16,3698,374,9,2549,1066,9,1768,1205,15,4025,3756,16,3522,3522
Assam,Cachar,Silchar,187,36,35,2425,0,8,1871,322,22,7031,2781,26,4221,2524,38,6757,6053,22,2300,2300
Assam,Cachar,Sonai,240,61,93,11647,0,23,4111,495,17,2863,997,25,3616,2195,16,2280,2034,5,631,631
Assam,Cachar,Tapang,84,18,35,4666,0,17,4161,319,2,372,130,5,1126,624,7,1225,983,0,0,0
Assam,Cachar,Udharbond,367,153,97,10881,0,12,2220,325,16,1827,628,25,3011,1922,45,5521,4881,19,2294,2294
Assam,Charaideo,Lakuwa,211,87,70,3913,0,39,3201,217,7,519,188,6,275,178,0,0,0,2,68,68
Assam,Charaideo,Mahmara,670,356,208,10627,0,64,3928,335,20,795,269,5,155,96,5,221,184,12,629,629
Assam,Charaideo,Sapekhati,675,209,244,10992,0,159,10787,870,38,2738,969,7,316,194,7,326,286,11,399,399
Assam,Charaideo,Sivasagar,135,53,51,2062,0,25,1246,62,5,231,73,1,75,42,0,0,0,0,0,0
Assam,Charaideo,Sonari,234,70,85,7089,0,33,4325,362,21,2537,821,11,1031,609,3,121,107,11,198,198
Assam,Chirang,,65,44,5,264,0,12,1380,120,2,93,39,1,9,5,1,113,89,0,0,0
Assam,Chirang,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Chirang,,40,39,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,Chirang,Borobazar,1004,761,145,4807,0,76,4169,185,9,420,146,6,274,178,3,189,161,4,182,182
Assam,Chirang,Manikpur Part,263,170,37,2319,0,40,3426,131,11,742,258,3,225,131,1,97,94,1,56,56
Assam,Chirang,Sidli-Chirang,837,683,48,4034,0,51,5056,308,15,848,292,19,1448,893,9,689,570,12,343,343
Assam,Darrang,Bechimari,189,79,83,9353,0,19,2513,176,3,774,307,4,689,467,0,0,0,1,20,20
Assam,Darrang,Dalgaon-Sialmari,378,235,91,12545,0,47,6766,445,2,272,97,1,105,60,1,163,161,1,110,110
Assam,Darrang,Kalaigaon,233,121,70,6320,0,28,2947,225,6,557,194,4,293,173,4,516,475,0,0,0
Assam,Darrang,Pachim-Mangaldai,326,85,101,6325,0,67,6383,669,26,2487,916,22,1369,806,9,663,566,16,679,679
Assam,Darrang,Pub-Mangaldai,295,193,48,6315,0,29,4524,505,11,2205,727,6,611,332,4,437,364,4,315,315
Assam,Darrang,Sipajhar,964,346,379,17974,0,126,7623,696,45,4087,1476,29,1912,1150,18,1002,846,21,604,604
