State,District,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Haryana,Ambala,Ambala-i,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,28034,28034
Haryana,Ambala,Ambala-ii,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10126,10126
Haryana,Ambala,Barara,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,21307,21307
Haryana,Ambala,Naraingarh,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,19438,19438
Haryana,Ambala,Saha,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,21636,21636
Haryana,Ambala,Shahzadpur,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,18890,18890
Haryana,Bhiwani,Bawani Khera,38,0,0,0,0,2,157,8,0,0,0,3,2158,1427,5,3692,3383,28,13279,13279
Haryana,Bhiwani,Behal,33,0,0,0,0,0,0,0,1,1722,787,1,323,219,3,1145,1012,28,9346,9346
Haryana,Bhiwani,Bhiwani,87,0,0,0,0,5,3191,456,2,1235,336,2,748,478,6,2877,2634,72,49073,49073
Haryana,Bhiwani,Kairu,40,0,0,0,0,1,104,4,0,0,0,0,0,0,8,2743,2375,31,12922,12922
Haryana,Bhiwani,Loharu,63,0,0,0,0,3,165,4,9,1632,647,20,6417,4156,11,3477,2978,20,3893,3893
Haryana,Bhiwani,Siwani,47,0,0,0,0,1,273,68,0,0,0,0,0,0,21,11468,11035,25,6011,6011
Haryana,Bhiwani,Tosham,52,0,0,0,0,2,5695,123,1,1136,468,7,3718,2211,17,9081,7694,25,9863,9863
Haryana,Charki Dadri,Badhra,53,0,0,0,0,0,0,0,1,181,86,5,1455,986,13,5047,4493,34,10507,10507
Haryana,Charki Dadri,Baund,24,0,0,0,0,1,288,7,3,2703,1011,5,6857,4177,4,1847,1708,11,4749,4749
Haryana,Charki Dadri,Charkhi Dadri,49,0,1,20,0,0,0,0,0,0,0,1,522,370,16,10782,9823,31,17691,17691
Haryana,Charki Dadri,Jhojhu,47,0,0,0,0,0,0,0,2,736,239,4,1206,720,22,11415,10113,19,8286,8286
Haryana,Faridabad,Ballabgarh,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,25971,25971
Haryana,Faridabad,Faridabad,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18695,18695
Haryana,Faridabad,Tigaon,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,13951,13951
Haryana,Fatehabad,Bhattu Kalan,29,0,4,223,0,0,0,0,0,0,0,11,10437,6995,14,9945,8201,0,0,0
Haryana,Fatehabad,Bhuna,31,0,1,1,0,0,0,0,1,42,14,7,8357,5597,17,8160,7123,5,3232,3232
Haryana,Fatehabad,Fatehabad,68,3,9,1158,0,2,282,60,8,4999,2173,15,8132,5129,24,15191,13396,7,2314,2314
Haryana,Fatehabad,Jakhal,26,0,2,64,0,0,0,0,0,0,0,3,2404,1698,15,5298,4715,6,1291,1291
Haryana,Fatehabad,Nagpur,40,0,0,0,0,0,0,0,0,0,0,4,3091,2303,22,7134,6282,14,4160,4160
Haryana,Fatehabad,Ratia,58,1,4,275,0,1,116,8,1,51,25,7,3039,1996,17,7223,6211,27,11232,11232
Haryana,Fatehabad,Tohana,56,1,4,88,0,1,38,2,3,204,86,9,5622,3579,35,17679,15734,3,769,769
Haryana,GURUGRAM,Farrukh Nagar,67,0,0,0,0,1,44,5,0,0,0,0,0,0,2,2019,1962,64,17105,17105
Haryana,GURUGRAM,Gurgaon,42,0,1,4,0,2,853,7,0,0,0,0,0,0,2,1650,1482,37,16663,16663
Haryana,GURUGRAM,Pataudi,91,0,0,0,0,0,0,0,0,0,0,2,902,666,6,2588,2273,83,21388,21388
Haryana,GURUGRAM,Sohna,68,0,0,0,0,5,677,62,4,2025,858,5,1895,1144,10,5941,5743,44,9950,9950
Haryana,Hisar,Adampur,37,0,1,1,0,7,2692,347,2,1756,567,5,4845,3156,15,9922,8953,7,3295,3295
Haryana,Hisar,Agroha,24,0,1,10,0,1,1028,235,1,910,448,7,8009,4815,9,7714,6705,5,2647,2647
Haryana,Hisar,Barwala,45,0,2,204,0,0,0,0,5,4006,1487,9,8312,5423,22,15353,13713,7,2450,2450
Haryana,Hisar,Hansi-i,70,0,2,76,0,4,2089,380,1,53,16,3,598,330,19,13109,12090,41,22072,22072
Haryana,Hisar,Hansi-ii,20,0,0,0,0,0,0,0,0,0,0,1,979,691,6,6103,5764,13,5902,5902
Haryana,Hisar,Hisar-i,49,0,2,61,0,2,773,160,0,0,0,5,3840,2751,21,15870,14250,19,9727,9727
Haryana,Hisar,Hisar-ii,45,0,0,0,0,2,184,30,2,1918,874,16,11067,7037,7,6837,6089,18,8653,8653
Haryana,Hisar,Narnaund,33,0,1,6,0,0,0,0,2,1780,639,7,5935,3565,10,7975,7216,13,6930,6930
Haryana,Hisar,Uklana,20,0,0,0,0,1,104,24,6,6662,2607,9,8659,5350,2,583,525,2,401,401
Haryana,Jhajjar,Badli,31,0,0,0,0,0,0,0,0,0,0,1,1625,1152,0,0,0,30,17634,17634
Haryana,Jhajjar,Bahadurgarh,45,0,0,0,0,1,534,12,2,1535,639,3,5490,3056,8,9391,8367,31,25283,25283
Haryana,Jhajjar,Beri,36,0,0,0,0,0,0,0,3,2388,836,2,2233,1404,7,6129,5425,24,13782,13782
Haryana,Jhajjar,Jhajjar,54,0,2,24,0,0,0,0,0,0,0,3,1240,698,6,3495,2907,43,20852,20852
Haryana,Jhajjar,Machhrauli,26,0,2,60,0,0,0,0,0,0,0,3,2707,1799,6,2403,2179,15,7364,7364
Haryana,Jhajjar,Matannail,48,0,0,0,0,0,0,0,1,395,129,2,1823,1319,5,4864,4307,40,19558,19558
Haryana,Jhajjar,Salhawas,27,0,0,0,0,0,0,0,0,0,0,2,1511,1090,2,1093,1013,23,12154,12154
Haryana,Jind,Alewa,20,0,1,171,0,0,0,0,0,0,0,3,1398,881,4,3459,3153,12,11289,11289
Haryana,Jind,Jind,70,0,3,239,0,5,2219,382,17,12295,4444,11,8064,5154,22,12102,10580,12,4432,4432
Haryana,Jind,Julana,37,0,0,0,0,0,0,0,1,308,97,6,4744,3042,22,13714,12866,8,4652,4652
Haryana,Jind,Narwana,38,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8915,8077,27,12540,12540
Haryana,Jind,Pillukhera,29,0,0,0,0,0,0,0,1,203,57,5,3457,2313,20,12394,11124,3,1302,1302
Haryana,Jind,Safidon,45,0,1,294,0,1,611,79,0,0,0,12,6453,4146,25,13449,12297,6,2982,2982
Haryana,Jind,Uchana,45,0,0,0,0,0,0,0,0,0,0,2,2021,1379,11,8675,7674,32,22021,22021
Haryana,Jind,Ujhana,19,0,0,0,0,0,0,0,1,610,247,10,11878,7182,2,1332,1056,6,2140,2140
Haryana,Kaithal,Dhand,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3872,3228,27,15088,15088
Haryana,Kaithal,Guhla,77,0,5,568,0,0,0,0,1,439,186,3,2123,1293,14,7660,6817,54,12511,12511
Haryana,Kaithal,Kaithal,68,0,4,163,0,1,593,110,2,316,114,5,5579,3291,10,7980,6651,46,26738,26738
Haryana,Kaithal,Kalayat,30,0,1,6,0,0,0,0,1,208,84,9,9139,5697,13,7191,6259,6,3189,3189
Haryana,Kaithal,Pundri,26,0,1,7,0,0,0,0,0,0,0,1,1391,925,3,6569,5767,21,16403,16403
Haryana,Kaithal,Rajound,24,0,0,0,0,0,0,0,1,171,77,0,0,0,1,1604,1577,22,14087,14087
