State,District,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Himachal Pradesh,Bilaspur,Bilaspur Sadar,716,0,9,162,0,9,410,31,8,192,64,77,3423,2224,69,4276,3756,544,14078,14078
Himachal Pradesh,Bilaspur,Ghumarwin,725,0,0,0,0,12,714,119,33,2780,1112,66,4942,3129,41,2484,2120,573,29513,29513
Himachal Pradesh,Bilaspur,Jhandutta,674,0,0,0,0,9,531,115,31,2527,1025,40,2916,1810,36,1816,1562,558,20553,20553
Himachal Pradesh,Bilaspur,Shree Naina Devi,371,0,0,0,0,8,365,49,4,74,27,18,681,418,19,1167,1001,322,8968,8968
Himachal Pradesh,Chamba,Bharmour,335,0,0,0,0,2,106,17,3,51,15,3,26,17,0,0,0,327,9701,9701
Himachal Pradesh,Chamba,Bhatiyat,1677,1,1,2,0,278,6456,1070,409,7942,2838,291,5678,3492,219,5070,4370,478,6848,6848
Himachal Pradesh,Chamba,Chamba,1692,7,459,2668,0,251,3699,459,166,2250,786,174,1894,1150,134,1768,1519,501,4282,4282
Himachal Pradesh,Chamba,Mehla,1517,1,306,2322,0,176,3182,316,113,1487,546,115,1374,848,68,1447,1250,738,9475,9475
Himachal Pradesh,Chamba,Pangi,128,0,7,201,0,17,829,92,27,1896,708,25,1399,838,14,500,417,38,1282,1282
Himachal Pradesh,Chamba,Salooni,1546,18,159,815,0,202,3677,488,186,2217,772,174,2366,1413,145,2548,2187,662,6183,6183
Himachal Pradesh,Chamba,Tissa,1252,25,160,1539,0,393,8404,1269,229,4176,1394,139,2030,1234,78,1564,1344,228,3024,3024
Himachal Pradesh,Hamirpur,Bamsan,326,1,5,159,0,15,1171,171,17,1689,687,19,1266,865,39,3519,3033,230,13438,13438
Himachal Pradesh,Hamirpur,Bhoranj,373,2,12,816,0,15,1303,137,26,2146,866,56,3086,2040,53,2761,2350,209,11040,11040
Himachal Pradesh,Hamirpur,Bijhari,605,4,124,3166,0,50,2383,397,55,2706,1002,56,2030,1270,101,4433,3898,215,7893,7893
Himachal Pradesh,Hamirpur,Hamirpur,232,3,1,20,0,2,153,12,4,247,98,3,223,154,6,1384,1219,213,10518,10518
Himachal Pradesh,Hamirpur,Nadaun,845,4,1,49,0,3,127,25,14,500,198,93,2946,1826,75,2112,1818,655,19629,19629
Himachal Pradesh,Hamirpur,Sujanpur Tira,296,0,1,1,0,0,0,0,0,0,0,2,92,54,15,675,615,278,8095,8095
Himachal Pradesh,Kangra,Baijnath,203,7,1,117,0,73,7626,828,33,4136,1603,25,3708,2161,12,2257,1992,52,3529,3529
Himachal Pradesh,Kangra,Bhawarna,201,0,5,231,0,67,9425,1374,23,4762,1882,30,4603,2718,21,4294,3722,55,3414,3414
Himachal Pradesh,Kangra,Dehra,1554,25,46,857,0,48,2464,212,110,2303,866,180,4272,2634,390,11010,9690,755,14029,14029
Himachal Pradesh,Kangra,Dharamshala,213,0,0,0,0,1,15,2,18,1167,461,27,1424,850,40,2264,1998,127,7812,7812
Himachal Pradesh,Kangra,Fatehpur,667,8,8,95,0,10,455,50,59,2535,1010,147,7222,4708,308,21634,19832,127,7623,7623
Himachal Pradesh,Kangra,Indora,305,5,4,240,0,21,1469,263,76,6320,2268,46,4910,3100,38,4853,4189,115,7527,7527
Himachal Pradesh,Kangra,Kangra,479,4,3,396,0,5,1072,120,6,86,37,43,1437,907,183,12359,11629,235,12155,12155
Himachal Pradesh,Kangra,Lambagaon,340,1,11,627,0,39,3351,399,74,7766,3003,77,6590,4139,66,7809,6922,72,3429,3429
Himachal Pradesh,Kangra,Nagrota Bagwan,475,1,6,245,0,6,234,38,20,848,339,59,2325,1459,67,3481,2965,316,12958,12958
Himachal Pradesh,Kangra,Nagrota Surian,527,7,1,1,0,11,282,27,29,855,340,113,5079,3299,204,13206,11441,162,6127,6127
Himachal Pradesh,Kangra,Nurpur,470,1,2,217,0,4,278,21,6,226,72,33,809,531,106,7495,6823,318,14868,14868
Himachal Pradesh,Kangra,Panchrukhi,151,2,6,895,0,47,5849,813,21,3704,1463,28,3669,2121,12,2330,1977,35,3281,3281
Himachal Pradesh,Kangra,Pragpur,845,5,55,1970,0,11,502,61,47,1788,673,75,2549,1513,107,4371,3868,545,18675,18675
Himachal Pradesh,Kangra,Rait,681,2,2,62,0,4,156,13,33,828,331,178,5927,3940,284,15029,13447,178,7677,7677
Himachal Pradesh,Kangra,Sulah,317,1,7,428,0,37,2607,322,51,4358,1693,80,6570,4215,78,5969,5112,63,4079,4079
Himachal Pradesh,Kinnaur,Kalpa,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,9113,9113
Himachal Pradesh,Kinnaur,Nichar,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,7715,7715
Himachal Pradesh,Kinnaur,Pooh,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,5935,5935
Himachal Pradesh,Kullu,Anni,975,0,224,2099,0,239,5105,502,148,3139,1072,116,2341,1385,48,1257,1098,200,5125,5125
Himachal Pradesh,Kullu,Banjar,957,0,272,2315,0,125,3316,432,109,2628,951,123,3015,1857,66,1438,1242,262,3878,3878
Himachal Pradesh,Kullu,Kullu,1108,24,190,2739,0,138,5564,824,158,4962,1883,138,6331,3998,116,9021,8092,344,9439,9439
Himachal Pradesh,Kullu,Naggar,561,1,22,642,0,48,1929,258,82,3553,1335,114,5978,3666,92,5974,5300,202,8074,8074
Himachal Pradesh,Kullu,Nirmand,721,1,43,562,0,122,2794,367,146,3746,1382,122,3070,1852,63,2260,2024,224,5846,5846
Himachal Pradesh,Lahaul And Spiti,Lahaul,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,4649,4649
Himachal Pradesh,Lahaul And Spiti,Spiti,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2635,2635
Himachal Pradesh,Mandi,Balh,587,1,0,0,0,2,98,8,66,3727,1527,159,10225,6512,94,6288,5358,265,13515,13515
Himachal Pradesh,Mandi,Balichowki,1231,228,60,443,0,96,2409,260,109,2793,999,112,2373,1424,88,3363,2975,538,9316,9316
Himachal Pradesh,Mandi,Chauntra,604,8,4,177,0,5,94,13,16,345,149,91,2691,1736,72,2061,1726,408,19612,19612
Himachal Pradesh,Mandi,Dharmpur,620,0,3,63,0,11,316,58,57,2359,902,138,6571,4170,93,5561,4831,318,13974,13974
Himachal Pradesh,Mandi,Drang,773,8,9,143,0,14,530,42,55,1540,598,142,5195,3323,138,5723,4808,407,13069,13069
Himachal Pradesh,Mandi,Gohar,1127,5,1,5,0,6,265,16,27,249,95,169,2199,1360,189,5161,4626,730,16510,16510
Himachal Pradesh,Mandi,Gopalpur,654,2,7,315,0,29,1013,163,82,3621,1425,152,8979,5594,176,11511,9900,206,10257,10257
Himachal Pradesh,Mandi,Karsog,1763,3,18,119,0,281,5647,676,235,3530,1293,205,2808,1669,161,3761,3309,860,13336,13336
Himachal Pradesh,Mandi,Mandi Sadar,1088,15,15,384,0,89,2943,451,110,2514,960,164,4374,2766,147,4824,4155,548,14894,14894
Himachal Pradesh,Mandi,Seraj,953,1,13,66,0,49,879,136,115,1375,516,136,2127,1345,61,1753,1552,578,8568,8568
Himachal Pradesh,Mandi,Sundarnagar,1304,0,29,488,0,88,2682,372,160,4736,1792,197,6671,4156,108,5488,4834,722,17424,17424
Himachal Pradesh,Shimla,Basantpur,634,0,59,339,0,42,805,99,108,1476,571,111,2063,1225,83,2369,2122,231,3988,3988
Himachal Pradesh,Shimla,Chhohara,352,0,69,1130,0,112,4629,462,43,2492,905,30,1308,793,35,1975,1746,63,2048,2048
