State,District,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Maharashtra,Ahmednagar,Akole,692,83,82,2658,0,154,9229,991,91,9264,3548,70,10202,6257,75,7142,6239,137,13509,13509
Maharashtra,Ahmednagar,Jamkhed,311,76,5,572,0,27,2488,386,52,3955,1503,54,6534,4255,50,5014,4311,47,3427,3427
Maharashtra,Ahmednagar,Karjat,593,57,19,843,0,128,8761,1209,178,14965,5316,116,10772,6632,60,6141,5431,35,2024,2024
Maharashtra,Ahmednagar,Kopargaon,424,39,95,5264,0,48,11471,1543,57,21440,7919,76,16233,9840,49,5105,4605,60,4946,4946
Maharashtra,Ahmednagar,Nagar,494,45,35,1872,0,84,4168,523,75,8711,3197,69,11390,6884,60,11420,10592,126,22316,22316
Maharashtra,Ahmednagar,Nevasa,377,28,3,516,0,119,12216,1520,87,12070,4391,46,7756,5028,71,28746,26558,23,6159,6159
Maharashtra,Ahmednagar,Parner,710,88,84,3359,0,247,12982,1269,96,7356,2755,69,9159,5755,51,10160,8583,75,7280,7280
Maharashtra,Ahmednagar,Pathardi,617,142,52,2357,0,119,6076,889,129,12354,4551,67,7579,4780,38,4825,4213,70,7019,7019
Maharashtra,Ahmednagar,Rahata,423,5,10,526,0,100,6947,920,109,12806,4903,42,9628,6020,53,12935,11657,104,9687,9687
Maharashtra,Ahmednagar,Rahuri,447,39,28,1295,0,62,5689,730,61,5084,1927,67,8362,5286,69,13878,12208,121,15067,15067
Maharashtra,Ahmednagar,Sangamner,921,62,197,11699,0,128,17822,2531,125,17259,6279,84,9828,6019,178,23083,21164,147,15254,15254
Maharashtra,Ahmednagar,Shevgaon,304,0,0,0,0,89,9492,877,37,6909,2626,36,7872,4852,22,5358,4515,120,14990,14990
Maharashtra,Ahmednagar,Shrigonda,704,163,108,7473,0,68,9837,1595,89,15957,5892,69,8863,5498,58,8311,7241,149,5814,5814
Maharashtra,Ahmednagar,Shrirampur,363,43,59,3375,0,18,2272,314,57,5406,2150,32,7629,4706,19,4961,4232,135,14968,14968
Maharashtra,Akola,Akola,156,9,11,1594,0,22,7167,1109,38,15326,5632,46,15883,9817,20,4603,3770,10,1457,1457
Maharashtra,Akola,Akot,149,10,15,2152,0,8,2541,410,20,8932,3458,62,21590,13699,25,5422,4522,9,1457,1457
Maharashtra,Akola,Balapur,87,10,5,460,0,7,3290,676,19,9968,4135,26,12750,7595,12,3201,2625,8,3325,3325
Maharashtra,Akola,Barshitakli,126,23,10,1798,0,22,3987,569,26,10490,4031,29,7793,5045,11,3713,3000,5,894,894
Maharashtra,Akola,Murtijapur,145,19,27,3596,0,8,3357,610,41,12750,5313,36,9316,5689,6,1006,870,8,1162,1162
Maharashtra,Akola,Patur,85,4,19,5520,0,10,4725,653,27,10098,4640,14,3624,1974,4,1246,1040,7,1690,1690
Maharashtra,Akola,Telhara,95,13,6,549,0,1,179,42,9,3494,1487,26,12852,8126,29,13975,11961,11,2281,2281
Maharashtra,Amravati,Achalpur,146,1,10,284,0,7,1149,187,24,5092,2218,53,23348,14868,27,8970,7196,24,3694,3694
Maharashtra,Amravati,Amravati,107,2,7,462,0,13,2929,541,14,4670,1929,24,8744,5599,20,13080,11754,27,6964,6964
Maharashtra,Amravati,Anjangaon S,105,0,1,30,0,0,0,0,12,1176,501,29,8790,5781,36,11593,9613,27,5250,5250
Maharashtra,Amravati,Bhatkuli,111,0,1,2,0,9,806,157,16,2236,921,18,4797,3200,30,11073,9679,37,7897,7897
Maharashtra,Amravati,Chandur Bz,139,2,2,24,0,7,732,159,11,1213,499,29,9557,5992,47,17757,15389,41,14979,14979
Maharashtra,Amravati,Chandur Ril,81,1,5,293,0,6,596,67,8,1623,656,17,5510,3777,25,8295,7181,19,4607,4607
Maharashtra,Amravati,Chikhaldara,158,0,44,4795,0,22,3278,570,46,7859,3088,25,5120,2952,15,2342,1888,6,505,505
Maharashtra,Amravati,Daryapur,133,0,0,0,0,0,0,0,3,1670,780,47,16802,10927,45,12477,10687,38,7140,7140
Maharashtra,Amravati,Dhamangaon Ril,86,0,1,96,0,7,3979,848,9,3253,1216,23,8354,5388,28,10095,8510,18,4644,4644
Maharashtra,Amravati,Dharni,158,1,10,1055,0,31,6512,1098,63,13176,4989,31,6997,4269,12,2528,2201,10,1821,1821
Maharashtra,Amravati,Morshi,90,0,3,217,0,1,50,2,1,107,38,14,3206,2215,35,17968,15711,36,14951,14951
Maharashtra,Amravati,Nandgaon Kh,126,11,7,410,0,4,453,39,28,5937,2422,52,17496,10836,18,5731,4720,6,1299,1299
Maharashtra,Amravati,Tiwsa,69,0,1,59,0,1,37,9,7,1140,479,35,10772,6841,15,10473,9344,10,2344,2344
Maharashtra,Amravati,Warud,99,0,0,0,0,4,343,30,5,527,231,36,11664,7809,35,18889,16136,19,9176,9176
Maharashtra,Beed,Ambajogai,204,66,2,36,0,18,4715,767,15,2629,1046,28,6165,3943,33,13588,11408,42,12064,12064
Maharashtra,Beed,Ashti,876,396,138,4760,0,149,14507,2184,113,10752,3789,34,4719,2804,19,3659,3176,27,4246,4246
Maharashtra,Beed,Beed,531,115,111,9891,0,174,26929,3373,59,14462,5184,40,6606,3941,13,4462,3971,19,1666,1666
Maharashtra,Beed,Dharur,199,36,4,85,0,56,3214,558,15,1289,511,22,4780,2993,14,4309,3484,52,6534,6534
Maharashtra,Beed,Georai,307,42,28,1872,0,73,18467,2717,76,19430,6977,47,15563,9442,24,6634,5766,17,2930,2930
Maharashtra,Beed,Kaij,259,125,14,1126,0,33,8297,1153,39,16362,5729,24,9362,5903,17,4921,4020,7,2088,2088
Maharashtra,Beed,Majalgaon,203,37,51,4037,0,37,11088,1785,34,16120,6531,23,9892,5709,13,2816,2360,8,147,147
Maharashtra,Beed,Parali V .,168,36,27,1485,0,33,11051,1705,44,19935,7440,18,5305,3458,8,2871,2365,2,58,58
Maharashtra,Beed,Patoda,312,65,109,4091,0,38,4425,790,27,5249,1939,38,5351,3217,25,3084,2674,10,542,542
Maharashtra,Beed,Shirur ( Ka ),305,89,63,1841,0,26,1297,182,40,11708,4300,38,7793,4732,19,2213,1889,30,871,871
Maharashtra,Beed,Wadwani,82,9,17,920,0,13,2847,413,17,4515,1582,14,4691,2745,7,2873,2535,5,442,442
Maharashtra,Bhandara,Bhandara,138,6,3,305,0,51,11000,1712,24,9415,3494,33,15679,9908,11,4356,3725,10,6998,6998
Maharashtra,Bhandara,Lakhandur,81,4,0,0,0,13,2476,319,10,3958,1572,24,10094,6075,26,10535,8797,4,1128,1128
Maharashtra,Bhandara,Lakhani,99,10,9,1575,0,24,8449,1147,16,4918,2005,24,10203,6292,14,3788,3269,2,431,431
Maharashtra,Bhandara,Mohadi,99,0,1,3,0,17,2036,348,18,6128,2539,43,17730,10749,13,7448,6605,7,1023,1023
Maharashtra,Bhandara,Pauni,136,21,8,724,0,30,4098,348,11,3899,1391,40,12665,8255,21,9996,8237,5,975,975
Maharashtra,Bhandara,Sakoli,88,1,0,0,0,34,7220,993,26,11064,4048,21,10554,6502,5,1369,1177,1,507,507
Maharashtra,Bhandara,Tumsar,137,2,2,60,0,40,7556,984,43,16772,6652,40,16429,10121,7,1778,1566,3,909,909
Maharashtra,Buldhana,Buldana,104,6,10,1285,0,2,1466,130,9,9822,3637,17,9736,6287,24,12343,10642,36,13452,13452
Maharashtra,Buldhana,Chikhli,137,3,3,717,0,15,3101,584,24,8239,3084,42,15713,9956,31,15868,13897,19,10036,10036
Maharashtra,Buldhana,D. Raja,63,3,5,675,0,1,329,63,10,2835,1090,18,6149,3865,18,5479,4678,8,4324,4324
