State,District,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Tamil Nadu,Ariyalur,Andimadam,103,0,5,962,0,32,11478,1674,33,10496,3900,21,5442,3205,10,4454,3745,2,464,464
Tamil Nadu,Ariyalur,Ariyalur,143,0,12,3157,0,26,9980,1484,34,8626,3315,30,7783,4852,16,3568,3201,25,3090,3090
Tamil Nadu,Ariyalur,Jayamkondam,154,0,1,34,0,10,1227,225,46,12076,4845,46,11013,6787,27,6660,5643,24,3428,3428
Tamil Nadu,Ariyalur,Sendurai,93,0,6,1063,0,27,12388,1898,35,11086,4024,10,3568,2229,9,2919,2370,6,1634,1634
Tamil Nadu,Ariyalur,T. Palur,124,0,7,987,0,16,5113,773,28,11694,4671,24,5563,3474,28,6583,5945,21,4197,4197
Tamil Nadu,Ariyalur,Thirumanur,93,0,2,156,0,18,6434,927,42,19810,7396,19,7514,4689,11,3164,2632,1,163,163
Tamil Nadu,Chengalpattu,Acharapakkam,285,0,96,7267,0,87,12101,999,18,1981,754,21,1917,1162,25,3119,2616,38,3255,3255
Tamil Nadu,Chengalpattu,Chithamur,193,0,62,5863,0,66,9847,660,4,1014,374,18,2589,1714,23,3316,2813,20,1878,1878
Tamil Nadu,Chengalpattu,Kattankolathur,280,0,45,4354,0,57,24765,3157,33,8579,3262,25,3949,2267,1,137,113,119,16361,16361
Tamil Nadu,Chengalpattu,Lathur,212,0,96,9145,0,67,9390,515,8,803,308,11,1232,729,19,2008,1706,11,606,606
Tamil Nadu,Chengalpattu,Madurantakam,318,0,67,4726,0,84,10702,1264,72,8655,3079,41,4037,2610,33,3291,2868,21,1725,1725
Tamil Nadu,Chengalpattu,St.Thomas Mount,319,0,15,1881,0,57,19396,2323,76,21803,7675,62,16380,10637,53,12020,10491,56,8822,8822
Tamil Nadu,Chengalpattu,Thiruporur,210,0,39,3887,0,83,42440,4220,19,8241,3280,14,2193,1380,21,4844,4478,34,6868,6868
Tamil Nadu,Chengalpattu,Tirukkalukunram,338,0,119,9494,0,107,23337,1418,25,2740,992,17,2072,1273,21,3036,2681,49,3650,3650
Tamil Nadu,Coimbatore,Anamalai,68,0,7,435,0,12,1383,204,18,5517,2143,22,11667,7376,9,2888,2320,0,0,0
Tamil Nadu,Coimbatore,Annur,161,0,8,567,0,50,9565,1589,65,18461,6945,27,7471,4329,10,1106,909,1,256,256
Tamil Nadu,Coimbatore,Karamadai,319,0,53,2276,0,54,4921,660,90,19655,7339,83,17409,10690,32,7823,6848,7,994,994
Tamil Nadu,Coimbatore,Kinathukadavu,85,0,13,2283,0,16,6264,925,26,8840,3292,21,7556,4553,8,2840,2281,1,412,412
Tamil Nadu,Coimbatore,Madukkarai,38,0,0,0,0,3,319,18,9,3956,1705,16,10875,6149,10,4304,3599,0,0,0
Tamil Nadu,Coimbatore,Periyanayakkanpalayam,74,0,12,671,0,18,2924,315,13,10975,4282,21,24316,15097,10,12240,9775,0,0,0
Tamil Nadu,Coimbatore,Pollachi North,97,0,2,207,0,11,2765,538,46,16868,6712,37,12605,7902,1,1193,946,0,0,0
Tamil Nadu,Coimbatore,Pollachi South,63,0,0,0,0,3,437,84,29,8450,3325,26,17652,11323,5,1538,1277,0,0,0
Tamil Nadu,Coimbatore,Sarcarsamakulam,37,0,1,157,0,4,1958,237,13,6224,2375,13,7999,5173,6,3212,2710,0,0,0
Tamil Nadu,Coimbatore,Sultanpet,90,0,34,6412,0,19,5996,430,16,3994,1465,14,8397,4748,3,716,645,4,401,401
Tamil Nadu,Coimbatore,Sulur,119,0,1,232,0,16,4786,674,29,11472,4595,44,24729,15763,24,11097,9164,5,686,686
Tamil Nadu,Coimbatore,Thondamuthur,49,0,4,86,0,4,314,42,7,1530,661,25,13320,8656,8,6971,5571,1,18,18
Tamil Nadu,Cuddalore,Annagramam,175,0,3,144,0,144,31022,3251,17,2477,865,7,1007,606,2,284,233,2,27,27
Tamil Nadu,Cuddalore,Cuddalore,301,4,136,17942,0,116,38644,2401,24,4844,1525,8,2161,1137,5,281,229,8,881,881
Tamil Nadu,Cuddalore,Kammapuram,195,0,27,4116,0,86,21676,2433,38,5347,1898,22,2883,1768,16,1901,1694,6,428,428
Tamil Nadu,Cuddalore,Kattumannarkoil,132,0,21,2003,0,68,12026,1209,27,5034,1768,13,2382,1421,2,66,55,1,75,75
Tamil Nadu,Cuddalore,Keerapalayam,111,0,2,100,0,22,5241,800,40,7706,2782,19,3909,2393,17,3077,2656,11,1090,1090
Tamil Nadu,Cuddalore,Komaratchi,152,0,19,1862,0,73,14644,1529,26,6301,2195,20,3645,2251,13,3657,3231,1,201,201
Tamil Nadu,Cuddalore,Kurinjipadi,296,0,180,26916,0,83,18290,1766,18,2716,932,7,1153,735,5,3140,2697,3,81,81
Tamil Nadu,Cuddalore,Mangalur,162,0,7,1451,0,115,34134,3886,26,7427,2390,7,2066,1262,7,2566,2235,0,0,0
Tamil Nadu,Cuddalore,Melbhuvanagiri,101,1,9,1905,0,65,16607,1713,16,4355,1506,8,1561,840,1,182,150,1,254,254
Tamil Nadu,Cuddalore,Nallur,138,1,3,325,0,96,23961,2725,28,6590,2344,7,2156,1311,2,641,505,1,232,232
Tamil Nadu,Cuddalore,Panruti,197,0,28,2057,0,84,19466,1851,38,9606,3603,33,6607,3879,12,2371,2029,2,696,696
Tamil Nadu,Cuddalore,Parangipettai,177,0,18,1561,0,96,17844,1849,40,7986,2752,9,900,572,6,1543,1278,8,1294,1294
Tamil Nadu,Cuddalore,Srimushnam,115,0,3,220,0,58,16229,2517,39,7286,2378,10,1341,881,4,218,173,1,474,474
Tamil Nadu,Cuddalore,Vriddhachalam,151,0,5,688,0,70,16201,2062,49,9399,3386,19,3730,2227,6,1054,897,2,538,538
Tamil Nadu,Dindigul,Athoor,151,0,0,0,0,61,14550,1765,34,7271,2472,28,8749,5226,18,4652,3920,10,593,593
Tamil Nadu,Dindigul,Dindigul,307,0,6,753,0,62,10333,1095,52,8807,3166,25,5050,3026,35,7473,6521,127,13116,13116
Tamil Nadu,Dindigul,Guziliamparai,411,10,18,770,0,74,5777,701,75,5067,1971,68,3188,1953,50,2019,1707,116,3065,3065
Tamil Nadu,Dindigul,Kodaikanal,145,1,22,648,0,47,6923,759,28,9094,3331,22,2588,1638,22,5011,4130,3,142,142
Tamil Nadu,Dindigul,Nattam,216,0,0,0,0,92,11117,1353,53,5514,2094,26,3636,2119,16,1392,1216,29,1923,1923
Tamil Nadu,Dindigul,Nilakottai,184,1,3,188,0,102,25649,2846,36,8211,2693,9,1504,909,10,1209,1006,23,4129,4129
Tamil Nadu,Dindigul,Oddanchatram,234,0,22,926,0,36,3743,472,66,12081,4712,66,11988,7361,37,5821,4889,7,449,449
Tamil Nadu,Dindigul,Palani,116,2,8,747,0,17,3925,565,37,10690,4213,29,10272,6604,23,5981,5037,0,0,0
Tamil Nadu,Dindigul,Reddiyarchatiram,238,4,49,4590,0,67,9465,1043,47,4814,1772,31,2931,1751,23,2033,1801,17,1668,1668
Tamil Nadu,Dindigul,Shanarpatti,217,0,0,0,0,59,8796,1407,70,11694,4218,48,10931,6643,20,2463,2101,20,1313,1313
Tamil Nadu,Dindigul,Thoppampatti,173,0,8,307,0,37,5554,826,44,8330,3237,36,9618,6188,26,8123,6801,22,3504,3504
Tamil Nadu,Dindigul,Vadamadurai,209,0,10,1007,0,45,5293,682,57,4916,1826,33,1837,1090,27,2201,1875,37,2418,2418
Tamil Nadu,Dindigul,Vattalkundu,100,0,0,0,0,31,8310,1125,29,6133,2106,9,1695,1114,12,3756,3071,19,3503,3503
