State,District,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2020,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Uttar Pradesh,Agra,Achhnera,101,46,36,11029,0,7,4256,276,4,1850,662,4,3706,2137,3,1853,1512,1,393,393
Uttar Pradesh,Agra,Akola,95,54,27,5457,0,2,584,36,2,1692,573,3,1060,630,2,856,662,5,2847,2847
Uttar Pradesh,Agra,Bah,207,136,61,10273,0,2,1290,135,0,0,0,1,147,95,1,1435,1341,6,2041,2041
Uttar Pradesh,Agra,Barauli Ahir,197,120,58,15689,0,4,3311,302,3,1913,788,0,0,0,3,1276,1026,9,2748,2748
Uttar Pradesh,Agra,Bichpuri,63,6,50,19668,0,1,424,74,1,247,94,2,1931,1144,0,0,0,3,1965,1965
Uttar Pradesh,Agra,Etmadpur,190,76,100,14817,0,3,792,76,2,112,51,1,665,404,1,80,76,7,2164,2164
Uttar Pradesh,Agra,Fatehabad,357,220,109,12244,0,5,707,146,6,1113,381,4,876,461,7,1788,1580,6,1413,1413
Uttar Pradesh,Agra,Fatehpur Sikri,118,62,35,8088,0,4,1168,181,0,0,0,4,955,571,8,2267,1981,5,2385,2385
Uttar Pradesh,Agra,Jagner,123,50,64,10393,0,1,344,52,0,0,0,1,202,108,1,391,296,6,1104,1104
Uttar Pradesh,Agra,Jaitpur Kalan,164,108,47,8354,0,1,609,4,0,0,0,0,0,0,3,105,102,5,2442,2442
Uttar Pradesh,Agra,Khandauli,179,59,87,16317,0,9,1950,275,1,223,62,6,1729,1027,3,1237,1161,14,1959,1959
Uttar Pradesh,Agra,Kheragarh,129,48,56,9909,0,2,702,141,0,0,0,4,2338,1669,5,1761,1599,14,2552,2552
Uttar Pradesh,Agra,Pinahat,175,118,41,7239,0,2,649,128,1,206,92,3,1227,783,1,80,77,9,778,778
Uttar Pradesh,Agra,Saiyan,155,64,65,10696,0,0,0,0,4,738,322,1,130,85,3,1127,907,18,2490,2490
Uttar Pradesh,Agra,Shamsabad,281,160,89,13341,0,1,187,15,4,1060,335,5,2046,1279,5,1534,1250,17,3145,3145
Uttar Pradesh,Aligarh,,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Aligarh,Akrabad,174,173,0,0,0,0,0,0,0,0,0,0,0,0,1,277,241,0,0,0
Uttar Pradesh,Aligarh,Atrauli,137,135,1,392,0,0,0,0,0,0,0,0,0,0,0,0,0,1,663,663
Uttar Pradesh,Aligarh,Bijauli,149,138,1,171,0,1,641,143,2,552,229,0,0,0,1,66,65,6,2225,2225
Uttar Pradesh,Aligarh,Chandaus,88,73,1,69,0,2,2406,472,7,2687,1036,4,2149,1426,0,0,0,1,14,14
Uttar Pradesh,Aligarh,Dhanipur,152,130,12,2795,0,1,289,57,4,2780,1068,5,2901,1647,0,0,0,0,0,0
Uttar Pradesh,Aligarh,Gangiri,234,194,3,433,0,2,634,84,1,1110,481,3,324,197,5,1069,949,26,5278,5278
Uttar Pradesh,Aligarh,Gonda,245,220,4,439,0,1,53,1,3,202,61,2,159,87,6,587,510,9,1082,1082
Uttar Pradesh,Aligarh,Iglas,188,174,2,139,0,2,1117,258,1,73,30,0,0,0,7,1425,1239,2,343,343
Uttar Pradesh,Aligarh,Jawan Sikanderpur,124,120,1,232,0,0,0,0,0,0,0,1,709,494,1,631,487,1,801,801
Uttar Pradesh,Aligarh,Khair,134,126,1,29,0,1,46,10,4,1319,495,0,0,0,1,151,131,1,531,531
Uttar Pradesh,Aligarh,Lodha,160,156,1,92,0,0,0,0,2,3249,1348,0,0,0,0,0,0,1,1009,1009
Uttar Pradesh,Aligarh,Tappal,116,92,10,4216,0,0,0,0,3,384,117,3,841,526,2,380,345,6,1996,1996
Uttar Pradesh,Ambedkar Nagar,Akbarpur,745,742,1,110,0,0,0,0,0,0,0,1,153,109,0,0,0,1,40,40
Uttar Pradesh,Ambedkar Nagar,Baskhari,469,434,5,266,0,3,439,49,4,361,131,0,0,0,3,285,238,20,3133,3133
Uttar Pradesh,Ambedkar Nagar,Bhiti,440,435,1,624,0,0,0,0,0,0,0,0,0,0,1,419,404,3,304,304
Uttar Pradesh,Ambedkar Nagar,Bhiyawan,731,691,12,508,0,9,845,90,2,218,80,2,145,85,0,0,0,15,460,460
Uttar Pradesh,Ambedkar Nagar,Jahangir Ganj,474,443,0,0,0,0,0,0,0,0,0,0,0,0,2,323,311,29,1854,1854
Uttar Pradesh,Ambedkar Nagar,Jalal Pur,890,832,6,367,0,2,283,30,1,217,86,5,508,339,6,856,810,38,3269,3269
Uttar Pradesh,Ambedkar Nagar,Katehari,575,550,5,543,0,7,419,33,2,250,91,4,501,318,2,137,116,5,614,614
Uttar Pradesh,Ambedkar Nagar,Ram Nagar,579,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1568,1568
Uttar Pradesh,Ambedkar Nagar,Tanda,591,587,4,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Amethi,Amethi,427,401,8,205,0,0,0,0,1,72,23,1,41,26,8,390,337,8,286,286
Uttar Pradesh,Amethi,Bahadurpur,360,302,40,2814,0,8,1047,72,2,156,66,4,708,484,2,422,404,2,141,141
Uttar Pradesh,Amethi,Bhadar,338,289,26,1638,0,4,819,56,4,126,39,5,415,276,3,129,117,7,741,741
Uttar Pradesh,Amethi,Bhetua,315,296,8,169,0,0,0,0,1,71,18,1,12,8,6,332,278,3,343,343
Uttar Pradesh,Amethi,Gauriganj,459,405,15,836,0,6,260,32,2,156,56,7,284,182,6,336,280,18,508,508
Uttar Pradesh,Amethi,Jagdishpur,441,431,9,1473,0,1,889,102,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Amethi,Jamo,604,560,19,676,0,6,652,97,2,29,11,3,602,343,10,1090,967,4,155,155
Uttar Pradesh,Amethi,Musafir Khana,320,308,1,446,0,3,911,150,0,0,0,6,133,85,2,139,122,0,0,0
Uttar Pradesh,Amethi,Sangrampur,345,308,11,173,0,4,114,21,3,133,43,11,382,265,3,94,73,5,408,408
Uttar Pradesh,Amethi,Shahgarh,311,264,36,1483,0,0,0,0,1,63,25,0,0,0,1,21,19,9,395,395
Uttar Pradesh,Amethi,Shukul Bazar,342,339,3,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Amethi,Singhpur,485,468,1,83,0,5,1495,164,2,646,204,5,1608,1016,1,161,135,3,534,534
Uttar Pradesh,Amethi,Tiloi,448,387,50,3031,0,1,223,13,2,640,295,3,175,118,2,61,48,3,328,328
Uttar Pradesh,Amroha,Amroha,189,188,1,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,Amroha,Dhanaura,171,162,1,107,0,0,0,0,1,287,114,2,376,203,3,2612,2314,2,1085,1085
Uttar Pradesh,Amroha,Gajraula,145,133,1,899,0,0,0,0,1,537,184,1,898,645,5,1595,1393,4,805,805
Uttar Pradesh,Amroha,Gangeshwari,145,118,2,180,0,3,730,75,6,1909,789,3,1401,848,6,2287,1878,7,2958,2958
Uttar Pradesh,Amroha,Hasanpur,173,166,0,0,0,2,92,13,1,1857,683,0,0,0,1,2014,1524,3,756,756
Uttar Pradesh,Amroha,Joya,256,227,3,407,0,2,1846,296,2,1136,385,9,3245,1970,6,1738,1551,7,3499,3499
Uttar Pradesh,Auraiya,Achchalda,353,289,25,1295,0,6,316,55,7,558,220,4,374,237,8,1994,1898,14,1814,1814
Uttar Pradesh,Auraiya,Ajitmal,202,161,9,1093,0,6,1780,271,2,315,134,4,1053,627,10,2065,1965,10,2175,2175
