State,District,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6581,6581
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3982,3982
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2116,2116
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4370,4370
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4352,4352
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2787,2787
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3097,3097
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4557,4557
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15764,15764
Dadra & Nagar Haveli And Daman & Diu,Dadra And Nagar Haveli,Dadra Nagar Haveli,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4747,4747
Dadra & Nagar Haveli And Daman & Diu,Daman,Daman,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27451,27451
Dadra & Nagar Haveli And Daman & Diu,Diu,Diu,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5352,5352
