State,District,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Ladakh,Kargil,Barsoo,47,1,34,629,0,4,162,8,2,47,16,4,108,66,1,12,9,1,15,15
Ladakh,Kargil,Bhimbat,43,2,12,310,0,9,305,37,4,95,36,9,196,120,4,102,89,3,52,52
Ladakh,Kargil,Drass,50,1,13,304,0,3,63,7,7,163,52,3,55,35,6,163,138,17,362,362
Ladakh,Kargil,Gm Pora (Trespone),64,0,18,496,0,9,279,32,13,369,128,10,300,174,9,285,245,5,137,137
Ladakh,Kargil,Kargil,87,5,45,1282,0,12,412,35,5,158,64,6,107,63,8,188,165,6,174,174
Ladakh,Kargil,Karsha,94,30,48,547,0,2,71,11,1,12,4,4,110,71,3,55,45,6,32,32
Ladakh,Kargil,Lotsum,32,0,30,393,0,0,0,0,1,9,3,0,0,0,1,10,8,0,0,0
Ladakh,Kargil,Lungnak,36,5,24,324,0,0,0,0,0,0,0,3,43,26,0,0,0,4,6,6
Ladakh,Kargil,Pashkum,15,0,3,112,0,5,185,31,0,0,0,3,86,51,2,40,35,2,82,82
Ladakh,Kargil,Sankoo,97,0,45,779,0,18,405,51,7,213,76,13,247,146,11,304,272,3,63,63
Ladakh,Kargil,Shaker Chaktan,84,0,40,650,0,18,535,55,9,213,69,5,122,71,4,117,101,8,117,117
Ladakh,Kargil,Shargol,55,5,20,229,0,6,147,17,11,176,66,1,18,9,5,120,102,7,100,100
Ladakh,Kargil,Soudh,87,5,25,578,0,12,302,49,4,89,33,18,378,227,12,228,204,11,143,143
Ladakh,Kargil,Taisuru,90,0,30,465,0,9,186,31,7,190,69,9,214,122,8,181,152,27,450,450
Ladakh,Kargil,Zansker,65,15,38,665,0,1,89,1,2,41,14,3,80,44,0,0,0,6,133,133
Ladakh,Leh Ladakh,Chuchot,15,1,3,457,0,8,1264,181,2,349,103,1,135,69,0,0,0,0,0,0
Ladakh,Leh Ladakh,Deskit,41,7,20,543,0,6,676,46,2,477,225,1,63,37,2,244,211,3,143,143
Ladakh,Leh Ladakh,Durbuk,33,2,18,690,0,3,115,14,3,78,22,2,19,11,4,114,92,1,87,87
Ladakh,Leh Ladakh,Khaltsi,44,6,13,376,0,11,328,50,4,101,28,5,95,65,0,0,0,5,72,72
Ladakh,Leh Ladakh,Kharu,32,0,8,427,0,12,865,124,4,117,46,2,92,60,1,182,157,5,220,220
Ladakh,Leh Ladakh,Leh,41,6,5,619,0,4,1844,77,1,65,22,7,506,308,6,547,496,12,1025,1025
Ladakh,Leh Ladakh,Nimoo,43,11,16,371,0,0,0,0,2,101,37,6,217,139,4,256,215,4,70,70
Ladakh,Leh Ladakh,Nyoma,18,2,11,548,0,1,185,21,0,0,0,2,109,67,1,50,48,1,94,94
Ladakh,Leh Ladakh,Panamic,30,0,16,627,0,6,377,61,1,32,12,2,244,157,1,6,5,4,32,32
Ladakh,Leh Ladakh,Rong,32,6,10,221,0,6,173,18,6,209,87,0,0,0,1,50,44,3,47,47
Ladakh,Leh Ladakh,Rupsho,14,7,7,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ladakh,Leh Ladakh,Saspol,21,0,6,53,0,1,22,3,3,33,14,2,219,146,3,249,221,6,109,109
Ladakh,Leh Ladakh,Singay Lalok Wanla,29,4,8,76,0,5,144,28,3,51,18,3,38,22,0,0,0,6,106,106
Ladakh,Leh Ladakh,Sukerbachan,40,2,20,322,0,11,392,48,3,300,92,2,44,25,0,0,0,2,41,41
Ladakh,Leh Ladakh,Thiksay,8,1,0,0,0,0,0,0,0,0,0,3,383,252,2,458,359,2,239,239
Ladakh,Leh Ladakh,Turtuk,25,2,17,1048,0,3,254,11,0,0,0,0,0,0,2,79,76,1,27,27
