State,District,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2021,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Madhya Pradesh,Agar-Malwa,AGAR,138,47,35,6302,0,24,6145,702,0,0,0,6,3090,1939,5,1739,1419,21,7834,7834
Madhya Pradesh,Agar-Malwa,Barod,140,57,35,5814,0,18,3344,364,0,0,0,1,232,130,8,2510,2188,21,6644,6644
Madhya Pradesh,Agar-Malwa,NALKHEDA,94,11,33,4537,0,14,3227,357,3,1622,557,1,604,382,11,4324,3887,21,6934,6934
Madhya Pradesh,Agar-Malwa,SUSNER,111,30,26,4172,0,27,5990,466,1,685,240,0,0,0,7,4401,4201,20,9685,9685
Madhya Pradesh,Alirajpur,ALIRAJPUR,728,529,47,1541,0,7,223,28,14,399,165,23,1445,889,50,3297,2940,58,2287,2287
Madhya Pradesh,Alirajpur,Bhabra,452,167,83,2362,0,43,2658,218,31,1766,643,46,2216,1431,56,2856,2541,26,1365,1365
Madhya Pradesh,Alirajpur,JOBAT,1017,211,304,5049,0,175,3074,375,85,1443,518,50,874,538,40,660,564,152,2551,2551
Madhya Pradesh,Alirajpur,KATTHIWADA,646,366,98,3148,0,42,2007,325,34,1433,512,33,1648,1019,45,1912,1700,28,1539,1539
Madhya Pradesh,Alirajpur,SONDWA,901,566,129,5235,0,28,1075,177,27,1249,472,30,1349,838,64,3703,3362,57,2327,2327
Madhya Pradesh,Alirajpur,UDAIGARH,992,640,100,1880,0,17,367,55,38,718,258,37,670,426,45,1083,955,115,2261,2261
Madhya Pradesh,Anuppur,ANUPPUR,338,110,87,8031,0,11,1554,161,6,512,194,12,1697,983,28,4692,4365,84,6669,6669
Madhya Pradesh,Anuppur,JAITHARI,670,238,192,11141,0,15,1736,185,14,1163,427,21,1345,835,25,3373,3035,165,10973,10973
Madhya Pradesh,Anuppur,KOTMA,215,54,83,5649,0,9,761,107,5,389,170,5,261,145,15,1541,1375,44,2919,2919
Madhya Pradesh,Anuppur,PUSHPRAJGARH,1115,299,341,19109,0,26,1183,139,20,946,353,36,2843,1879,74,4423,3995,319,16329,16329
Madhya Pradesh,Ashoknagar,ASHOKNAGAR,360,57,88,7245,0,141,21773,908,12,2028,843,17,2361,1548,21,4524,4096,24,5237,5237
Madhya Pradesh,Ashoknagar,CHANDERI,266,65,96,11512,0,9,2650,166,11,1789,725,12,1498,983,52,9273,8595,21,2408,2408
Madhya Pradesh,Ashoknagar,ISAGARH,349,236,39,4341,0,8,609,80,9,574,213,10,1937,1199,23,6316,5820,24,4597,4597
Madhya Pradesh,Ashoknagar,MUNGAOLI,417,103,217,25488,0,15,3102,330,12,1252,473,15,1626,1034,34,8147,7409,21,5211,5211
Madhya Pradesh,Balaghat,BAIHAR,526,201,148,7719,0,8,509,45,18,1393,563,14,838,556,64,3939,3544,73,4186,4186
Madhya Pradesh,Balaghat,BALAGHAT,368,33,56,2815,0,19,1145,124,17,2164,907,27,2398,1515,60,14007,13477,156,15541,15541
Madhya Pradesh,Balaghat,BIRSA,625,331,114,4801,0,9,591,83,16,778,306,22,1185,728,84,5865,5374,49,5475,5475
Madhya Pradesh,Balaghat,KATANGI,404,149,62,6122,0,50,7799,636,14,1841,660,21,2685,1695,48,9183,8441,60,8615,8615
Madhya Pradesh,Balaghat,KHAIRLANJI,261,49,43,3827,0,23,4688,334,8,731,251,10,508,310,53,9546,9235,75,14156,14156
Madhya Pradesh,Balaghat,KIRNAPUR,309,112,39,4265,0,14,1013,98,9,1280,483,9,767,522,82,17765,16954,44,7036,7036
Madhya Pradesh,Balaghat,Lalbarra,416,4,43,576,0,15,805,79,23,947,353,49,5156,3267,109,12683,11399,173,20211,20211
Madhya Pradesh,Balaghat,LANJI,398,152,16,511,0,42,3569,198,14,1373,531,35,4581,2990,113,18861,17470,26,3823,3823
Madhya Pradesh,Balaghat,PARASWADA,420,125,115,7991,0,20,686,89,16,997,369,13,1189,723,39,2834,2587,92,7594,7594
Madhya Pradesh,Balaghat,WARASEONI,267,28,60,6589,0,16,1660,172,12,2480,938,37,8518,5278,55,10782,10016,59,9502,9502
Madhya Pradesh,Barwani,BARWANI,481,157,83,3230,0,17,1599,213,22,2929,1153,27,3053,1909,45,5307,4855,130,11833,11833
Madhya Pradesh,Barwani,Newali,596,298,131,4419,0,10,611,77,17,2631,1041,18,835,499,17,1078,954,105,4891,4891
Madhya Pradesh,Barwani,PANSEMAL,744,298,152,4437,0,33,2455,422,38,1689,596,34,4705,2838,43,5265,4532,146,6057,6057
Madhya Pradesh,Barwani,PATI,739,313,158,7565,0,90,4717,425,27,1806,660,37,2710,1675,32,1721,1532,82,3622,3622
Madhya Pradesh,Barwani,RAJPUR,504,47,107,5009,0,41,1979,233,36,3035,1119,38,3037,1827,92,12199,10759,143,10626,10626
Madhya Pradesh,Barwani,Sendhawa,2131,1115,205,5319,0,211,7797,828,113,4139,1364,73,3960,2514,84,3511,3100,330,11691,11691
Madhya Pradesh,Barwani,Thikri,231,36,27,1504,0,6,756,113,11,1545,500,19,4790,2892,40,7863,7116,92,15848,15848
Madhya Pradesh,Betul,AMLA,214,69,25,2876,0,29,3183,261,18,3568,1486,25,5178,3190,28,8766,7802,20,3365,3365
Madhya Pradesh,Betul,Athner,163,14,22,1316,0,12,1191,120,9,733,255,13,1191,807,32,5750,5238,61,10787,10787
Madhya Pradesh,Betul,BETUL,268,120,21,2464,0,24,3599,379,23,4433,1788,18,4466,2773,26,5962,5132,36,6296,6296
Madhya Pradesh,Betul,BHAINSDEHI,257,70,51,5689,0,19,2647,343,8,1511,626,9,2026,1239,27,6104,5540,73,6878,6878
Madhya Pradesh,Betul,BHIMPUR,477,180,72,4674,0,13,780,86,18,1231,427,16,752,489,45,4406,3924,133,8759,8759
Madhya Pradesh,Betul,CHICHOLI,222,50,43,2888,0,6,515,65,11,1240,431,17,836,539,16,1588,1444,79,5527,5527
Madhya Pradesh,Betul,GHORADONGRI,269,158,47,6544,0,12,1525,106,5,221,100,3,220,147,6,1619,1412,38,7403,7403
