State,District,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Chhattisgarh,Balod,Balod,119,1,6,173,0,38,6375,501,16,4594,1586,22,4922,3008,29,7521,6536,7,1350,1350
Chhattisgarh,Balod,Dondi,120,0,9,420,0,30,5696,107,13,2651,1142,25,5324,3303,40,8863,7563,3,128,128
Chhattisgarh,Balod,Dondilohara,284,0,134,13164,0,54,11111,400,16,3396,1330,30,6066,3911,44,11169,9652,6,1544,1544
Chhattisgarh,Balod,Gunderdehi,207,1,61,9837,0,24,6111,640,26,7682,3150,39,11528,7626,35,10412,9098,21,2563,2563
Chhattisgarh,Balod,Gurur,152,0,43,4760,0,30,5951,345,10,4550,1765,28,8526,5190,29,6620,5678,12,2819,2819
Chhattisgarh,Balodabazar-Bhatapara,Baloda Bazar,187,2,14,2013,0,96,23417,1944,22,7601,2794,21,10114,6365,22,7634,6654,10,3360,3360
Chhattisgarh,Balodabazar-Bhatapara,Bhatapara,113,0,28,5440,0,39,10010,522,5,2689,1113,7,2350,1413,28,10916,9728,6,1711,1711
