State,District,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Karnataka,Bagalkote,Badami,124,0,0,0,0,16,5625,868,20,7994,2823,12,4633,2985,34,12052,11178,42,16471,16471
Karnataka,Bagalkote,Bagalkot,124,9,11,1640,0,18,9148,1300,11,5325,1716,11,4614,2667,16,6516,6053,48,22347,22347
Karnataka,Bagalkote,Bilagi,92,5,21,2525,0,10,3532,390,9,5848,2076,2,1528,1023,8,4994,4786,37,15892,15892
Karnataka,Bagalkote,GULEDAGUDDA,40,0,0,0,0,0,0,0,1,380,159,1,310,182,10,4680,4191,28,9868,9868
Karnataka,Bagalkote,Hungund,85,0,7,1840,0,10,2726,282,6,1000,438,15,5261,3413,27,9673,8840,20,5317,5317
Karnataka,Bagalkote,ILKAL,81,0,4,883,0,3,1098,110,4,7379,3279,14,3189,2137,32,11169,10052,24,7658,7658
Karnataka,Bagalkote,Jamkhandi,230,8,96,2636,0,8,1821,315,12,1307,430,13,704,409,12,6399,5996,81,30429,30429
