State,District,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2022,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Nagaland,Dimapur,AGHUNAQA,36,0,1,83,0,0,0,0,5,220,94,9,527,323,2,104,90,19,1090,1090
Nagaland,Dimapur,Chumukedima,57,0,7,1491,0,2,2944,200,6,4619,1727,19,7437,4696,17,16867,13736,6,3220,3220
Nagaland,Dimapur,DHANSIRIPAR,49,6,1,60,0,1,84,20,11,1316,561,18,1831,1021,2,557,453,10,1357,1357
Nagaland,Dimapur,KUHUBOTO,42,1,6,309,0,4,722,144,6,1846,820,2,167,86,5,637,559,18,1595,1595
Nagaland,Dimapur,MEDZIPHEMA,31,0,5,428,0,2,128,19,6,1244,552,2,112,60,9,1526,1381,7,1247,1247
Nagaland,Dimapur,NIULAND,37,4,1,70,0,0,0,0,2,238,96,13,1215,648,4,324,292,13,1119,1119
Nagaland,Kiphire,Khonsa,31,0,2,97,0,1,66,11,1,64,29,4,611,376,14,1439,1361,9,626,626
Nagaland,Kiphire,Kiphire,23,0,1,150,0,0,0,0,2,736,237,2,731,475,5,949,829,13,1925,1925
