State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Jharkhand,Bokaro,Bermo,91,0,3,741,0,6,1032,186,3,432,163,9,2907,1725,11,2876,2454,59,12826,12826
Jharkhand,Bokaro,Chandankiyari,1047,51,612,26314,0,38,2317,283,45,3669,1461,37,2367,1478,43,3838,3396,221,10034,10034
Jharkhand,Bokaro,Chandrapura,233,11,62,6479,0,13,1454,232,15,2485,1013,16,2043,1245,41,4099,3799,75,6650,6650
Jharkhand,Bokaro,Chas,896,3,635,40059,0,18,4700,445,19,1960,746,24,2172,1419,45,4146,3781,152,17588,17588
Jharkhand,Bokaro,Gomia,669,9,209,9100,0,42,4047,565,52,3954,1520,34,3832,2340,84,8790,7813,239,22079,22079
Jharkhand,Bokaro,Jaridih,183,0,137,9107,0,6,1572,233,5,1523,578,7,1832,1171,12,3294,2942,16,3575,3575
Jharkhand,Bokaro,Kasmar,290,1,156,8375,0,15,970,132,19,1107,400,22,1811,1101,41,3583,3182,36,2651,2651
