State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Kerala,Alappuzha,Ambalappuzha,87,0,0,0,0,0,0,0,3,1151,532,14,7534,5055,23,11636,10258,47,23492,23492
Kerala,Alappuzha,Aryad,80,0,0,0,0,0,0,0,11,8461,3541,27,19171,12304,32,18295,15755,10,5734,5734
Kerala,Alappuzha,Bharanicavu,107,0,0,0,0,16,8367,1320,28,15160,5752,25,13302,8345,17,9111,7978,21,10764,10764
Kerala,Alappuzha,Champakulam,85,0,0,0,0,5,1758,271,29,11070,4215,31,11294,6805,18,6219,5288,2,653,653
Kerala,Alappuzha,Chengannur,132,0,70,26870,0,19,6598,588,12,6508,2420,16,7870,5016,8,3801,3296,7,3688,3688
Kerala,Alappuzha,Harippad,112,0,0,0,0,0,0,0,35,12970,5050,34,14991,8887,23,8155,7089,20,8416,8416
Kerala,Alappuzha,Kanjikkuzhy,95,0,0,0,0,0,0,0,0,0,0,14,8260,5504,23,12842,11013,58,27571,27571
