State,District,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2023,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
West Bengal,Alipurduar,Alipurduar-i,93,0,13,4548,0,18,9816,758,12,6145,2285,9,8751,5621,25,13947,12796,16,9170,9170
West Bengal,Alipurduar,Alipurduar-ii,355,0,100,10503,0,25,5467,389,33,6966,2556,33,6542,4237,68,10295,9431,96,19414,19414
West Bengal,Alipurduar,Falakata,276,0,136,21568,0,36,12081,622,17,3622,1416,11,2944,1759,26,8551,7926,50,12244,12244
West Bengal,Alipurduar,Kalchini,232,0,49,12615,0,28,7958,774,15,3413,1323,16,9245,5915,30,10190,8816,94,22514,22514
West Bengal,Alipurduar,Kumargram,301,0,63,9539,0,33,6786,368,24,5307,2045,28,4928,3082,75,12479,11234,78,11915,11915
West Bengal,Alipurduar,Madarihat,252,18,82,16860,0,28,11056,869,25,11904,4546,26,7901,4893,22,6177,5396,51,11481,11481
West Bengal,Bankura,Bankura-i,170,0,17,1637,0,24,1775,160,13,2567,983,16,1624,1060,48,7904,7329,52,8324,8324
