State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Bihar,Araria,Araria,247,0,0,0,0,0,0,0,0,0,0,1,230,145,3,669,593,243,62714,62714
Bihar,Araria,Bhargama,157,0,0,0,0,0,0,0,3,501,174,7,1314,832,14,4750,4535,133,39467,39467
Bihar,Araria,Forbesganj,400,1,4,215,0,0,0,0,1,155,47,3,348,196,10,1387,1224,381,87713,87713
Bihar,Araria,Jokihat,313,0,1,50,0,1,80,2,0,0,0,5,431,273,12,1712,1609,294,60775,60775
Bihar,Araria,Kursakanta,306,0,6,327,0,8,407,43,7,534,219,3,103,62,9,939,846,273,31515,31515
Bihar,Araria,Narpatganj,275,0,0,0,0,1,32,6,0,0,0,4,949,558,8,1981,1876,262,67655,67655
Bihar,Araria,Palasi,392,1,0,0,0,2,95,20,0,0,0,3,315,201,10,1899,1828,376,58325,58325
Bihar,Araria,Raniganj,254,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,252,95617,95617
Bihar,Araria,Sikty,154,2,1,175,0,0,0,0,0,0,0,3,786,477,22,6984,6492,126,33692,33692
Bihar,Arwal,Arwal,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,18036,18036
Bihar,Arwal,Kaler,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,24201,24201
Bihar,Arwal,Kapri,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,43725,43725
Bihar,Arwal,Kurtha,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,21076,21076
Bihar,Arwal,Sonbhadra-Bansi-Surajpur,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,15026,15026
Bihar,Aurangabad,Aurangabad,267,5,3,110,0,4,135,22,2,129,43,11,740,460,4,306,279,238,27576,27576
Bihar,Aurangabad,Barun,242,0,3,70,0,0,0,0,1,20,6,1,64,39,3,300,261,234,27558,27558
Bihar,Aurangabad,Daudnagar,153,0,0,0,0,1,10,1,1,59,19,1,210,150,3,383,346,147,25027,25027
Bihar,Aurangabad,Deo,330,0,5,242,0,2,150,10,3,96,34,15,1335,839,6,614,553,299,32225,32225
Bihar,Aurangabad,Goh,221,0,2,2,0,0,0,0,1,59,20,2,176,94,11,1462,1360,205,36475,36475
Bihar,Aurangabad,Haspura,159,1,4,14,0,0,0,0,2,302,136,0,0,0,2,239,222,150,25803,25803
Bihar,Aurangabad,Kutumba,270,0,3,173,0,1,415,81,4,1019,369,5,912,564,9,1304,1165,248,33396,33396
Bihar,Aurangabad,Madanpur,442,0,3,171,0,3,138,19,8,305,129,15,891,538,11,666,592,402,39742,39742
Bihar,Aurangabad,Nabinagar,404,3,10,410,0,1,82,5,2,110,45,1,30,15,6,592,562,381,45403,45403
Bihar,Aurangabad,Obra,285,1,4,177,0,1,130,9,2,237,110,1,86,61,3,500,477,273,34695,34695
Bihar,Aurangabad,Rafiganj,433,2,7,894,0,3,127,17,7,229,94,10,659,417,22,2063,1871,382,41637,41637
Bihar,Banka,Amarpur,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,42285,42285
Bihar,Banka,Banka,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,29591,29591
Bihar,Banka,Barahat,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,25002,25002
Bihar,Banka,Bausi,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,32964,32964
Bihar,Banka,Belhar,262,0,1,240,0,0,0,0,0,0,0,0,0,0,0,0,0,261,23470,23470
Bihar,Banka,Chandan,367,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,21252,21252
