State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Goa,North Goa,Bardez,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,45884,45884
Goa,North Goa,Bicholim,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,18720,18720
Goa,North Goa,Pernem,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,19719,19719
Goa,North Goa,Satari,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,13820,13820
Goa,North Goa,Tiswadi,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,35892,35892
Goa,South Goa,Canacona,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10097,10097
Goa,South Goa,Dharbandora,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5120,5120
Goa,South Goa,Mormugao,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16574,16574
Goa,South Goa,Ponda,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,32147,32147
Goa,South Goa,Quepem,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,12675,12675
Goa,South Goa,Salcete,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,44325,44325
Goa,South Goa,Sanguem,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8935,8935
