State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Jammu & Kashmir,Bandipora,Aloosa,57,0,1,48,0,4,390,20,6,960,368,9,915,606,26,3132,2715,11,1105,1105
Jammu & Kashmir,Bandipora,Arin,52,0,0,0,0,4,163,26,4,482,179,2,160,117,21,3309,3089,21,811,811
Jammu & Kashmir,Bandipora,Baktoor,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,495,495
Jammu & Kashmir,Bandipora,Bandipora,66,0,0,0,0,1,70,16,5,189,81,7,717,458,25,4451,4206,28,3431,3431
Jammu & Kashmir,Bandipora,Bonkoot,35,0,3,56,0,0,0,0,3,365,130,7,708,472,16,3081,2873,6,927,927
Jammu & Kashmir,Bandipora,Ganstan,22,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1416,1396,5,220,220
Jammu & Kashmir,Bandipora,Gurez,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,221,195,12,1129,1129
Jammu & Kashmir,Bandipora,Hajin,102,0,4,46,0,0,0,0,0,0,0,6,278,194,62,4411,4224,30,1662,1662
Jammu & Kashmir,Bandipora,Naidkhay,65,0,0,0,0,0,0,0,0,0,0,2,78,57,40,3014,2933,23,1243,1243
Jammu & Kashmir,Bandipora,Nowgam,56,0,24,600,0,0,0,0,2,90,27,7,457,250,6,388,380,17,379,379
Jammu & Kashmir,Bandipora,Sumbal,48,0,2,20,0,2,47,3,0,0,0,3,139,84,21,1095,1053,20,1330,1330
Jammu & Kashmir,Bandipora,Tulail,55,0,5,151,0,4,322,59,3,202,63,8,374,244,0,0,0,35,1618,1618
Jammu & Kashmir,Baramulla,Baramulla,69,0,0,0,0,0,0,0,2,473,228,2,65,44,10,1423,1319,55,5550,5550
Jammu & Kashmir,Baramulla,Bijhama,19,0,0,0,0,0,0,0,2,317,87,5,683,425,9,1452,1306,3,494,494
Jammu & Kashmir,Baramulla,Boniyar,71,0,0,0,0,0,0,0,1,41,12,0,0,0,21,1267,1156,49,2915,2915
Jammu & Kashmir,Baramulla,Chandil Wangam,23,0,0,0,0,1,18,1,1,132,43,1,35,18,3,191,169,17,1011,1011
Jammu & Kashmir,Baramulla,Hardaboora,24,0,0,0,0,2,163,13,0,0,0,0,0,0,6,953,900,16,1609,1609
Jammu & Kashmir,Baramulla,Kandi Rafiabad,24,0,0,0,0,0,0,0,3,122,53,2,77,45,6,600,532,13,790,790
Jammu & Kashmir,Baramulla,Khaipora,36,0,1,7,0,0,0,0,0,0,0,2,126,76,11,666,630,22,1052,1052
Jammu & Kashmir,Baramulla,Kunzer,44,0,0,0,0,0,0,0,0,0,0,2,94,49,15,1549,1492,27,2197,2197
Jammu & Kashmir,Baramulla,Lalpora,17,0,0,0,0,0,0,0,1,35,15,0,0,0,5,1380,1240,11,1582,1582
Jammu & Kashmir,Baramulla,Nadihal,46,0,0,0,0,1,86,20,3,510,189,9,678,411,17,2560,2318,16,2073,2073
Jammu & Kashmir,Baramulla,Narwah,59,0,0,0,0,0,0,0,0,0,0,7,381,236,18,2176,2058,34,3398,3398
Jammu & Kashmir,Baramulla,Noorkah,35,0,0,0,0,0,0,0,6,642,248,6,528,326,11,1574,1326,12,1394,1394
Jammu & Kashmir,Baramulla,Paranpeela,76,1,0,0,0,12,1118,232,17,2546,968,22,3079,2099,15,2259,1992,9,719,719
Jammu & Kashmir,Baramulla,Pattan,75,0,0,0,0,0,0,0,0,0,0,3,389,226,7,997,962,65,11863,11863
Jammu & Kashmir,Baramulla,Rafiabad,44,0,2,67,0,0,0,0,0,0,0,4,322,175,6,679,597,32,4003,4003
