State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Manipur,Bishnupur,Bishnupur,34,0,0,0,0,2,449,10,5,607,253,6,4880,3013,17,11683,10951,4,1072,1072
Manipur,Bishnupur,Moirang,56,0,11,1055,0,4,1521,262,5,2596,1011,9,3244,2014,23,4952,4447,4,945,945
Manipur,Chandel,Chakpikarong,126,2,2,40,0,13,287,29,14,266,103,34,2325,1526,34,2448,2115,27,1797,1797
Manipur,Chandel,Chandel,102,0,0,0,0,10,410,30,8,359,139,33,2652,1735,40,4345,3961,11,1115,1115
Manipur,Chandel,Khengjoy,59,0,1,24,0,3,70,6,0,0,0,26,1326,889,17,1230,1085,12,781,781
Manipur,Churachandpur,Henglep,149,0,1,4,0,1,65,12,1,13,6,8,285,170,58,2058,1826,80,3292,3292
Manipur,Churachandpur,Lamka,51,0,0,0,0,1,19,4,1,1493,672,3,1858,1203,43,9620,8911,3,169,169
Manipur,Churachandpur,Saikot,32,0,0,0,0,1,649,133,0,0,0,3,725,394,6,214,199,22,1225,1225
Manipur,Churachandpur,Samulamlan,90,0,0,0,0,1,13,3,2,47,16,8,200,127,43,1988,1767,36,1551,1551
Manipur,Churachandpur,Sangaikot,71,0,0,0,0,1,49,5,0,0,0,2,27,18,27,1242,1180,41,1720,1720
Manipur,Churachandpur,Singngat,75,0,2,74,0,0,0,0,1,17,8,9,972,644,40,1956,1773,23,1273,1273
Manipur,Churachandpur,Tuibong,99,0,0,0,0,2,152,29,1,581,255,8,1968,1290,69,5239,4783,19,1403,1403
Manipur,Imphal East,Heingang CD Block,65,0,0,0,0,4,501,64,4,914,253,14,5823,3741,24,22749,20040,19,5718,5718
Manipur,Imphal East,Sawombung CD Block,116,0,3,159,0,25,3782,265,6,1550,662,21,6511,4355,37,17339,15748,24,7843,7843
Manipur,Imphal West,Haorangsabal,91,0,5,581,0,16,2048,280,8,2204,818,12,3840,2318,44,20638,19509,6,2213,2213
Manipur,Imphal West,Hiyangthang,44,0,3,56,0,2,759,111,7,3362,1208,6,1376,799,20,6730,6173,6,1918,1918
Manipur,Jiribam,Jiribam C D Block,50,0,16,2462,0,10,1895,33,1,18,5,3,528,376,11,1979,1936,9,390,390
Manipur,Kakching,Kakching,44,0,1,34,0,1,87,1,4,1361,641,6,2927,1886,22,11216,10501,10,4647,4647
Manipur,Kamjong,Kamjong,60,0,0,0,0,4,399,37,10,579,217,7,866,523,19,1694,1505,20,1074,1074
Manipur,Kamjong,Kasom Khullen,41,0,0,0,0,10,740,122,8,438,165,10,680,467,7,485,455,6,403,403
Manipur,Kamjong,Phungyar,42,0,0,0,0,2,203,29,3,209,87,6,448,304,14,1570,1389,17,1546,1546
Manipur,Kangpokpi,Kangpokpi,176,0,5,83,0,7,397,33,4,181,78,9,620,391,76,5127,4829,75,4561,4561
Manipur,Kangpokpi,Saikul,247,1,5,147,0,15,460,36,14,333,132,23,1334,894,90,5177,4936,99,4147,4147
Manipur,Kangpokpi,Saitu Gamphazol,183,0,9,253,0,21,1109,136,10,426,163,22,978,614,78,4737,4467,43,2257,2257
Manipur,Noney,Haochong,29,0,1,64,0,2,276,52,3,97,34,3,259,170,3,624,523,17,1369,1369
Manipur,Noney,Khoupum,34,0,1,6,0,4,391,45,2,242,76,2,132,77,13,1546,1373,12,1022,1022
Manipur,Noney,Longmai,16,0,0,0,0,1,555,124,1,112,43,3,169,101,5,884,783,6,817,817
Manipur,Noney,Nungba,36,0,1,15,0,6,225,32,4,237,84,6,585,337,12,1476,1348,7,389,389
Manipur,Pherzawl,Thanlon,64,0,2,45,0,13,428,70,14,635,245,9,1176,732,2,181,150,24,834,834
