State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Meghalaya,East Garo Hills,Dambo Rongjeng,235,0,1,25,0,5,306,47,6,230,86,18,1085,693,52,3652,3293,153,10081,10081
Meghalaya,East Garo Hills,Samanda,264,0,8,125,0,6,340,48,12,550,217,21,840,526,25,1632,1387,192,8551,8551
Meghalaya,East Garo Hills,Songsak,245,0,2,66,0,4,225,21,9,475,165,19,1030,661,38,2677,2277,173,8062,8062
Meghalaya,East Jaintia Hills,Saipung,97,0,5,187,0,22,1780,270,11,1611,490,6,422,265,10,967,876,43,2776,2776
Meghalaya,East Jaintia Hills,Wapung,135,0,8,498,0,13,2926,451,28,4506,1603,12,1241,813,29,4672,3956,45,4271,4271
Meghalaya,East Khasi Hills,Khadarshnong-Laitkroh,144,1,44,3033,0,3,372,10,0,0,0,0,0,0,3,595,488,93,5176,5176
Meghalaya,East Khasi Hills,Mawkynrew,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,11052,11052
Meghalaya,East Khasi Hills,MAWLAI,16,0,4,3750,0,0,0,0,0,0,0,0,0,0,1,1056,998,11,3375,3375
Meghalaya,East Khasi Hills,Mawpat,28,0,4,471,0,6,581,75,2,973,371,3,248,162,3,3436,3124,10,3860,3860
Meghalaya,East Khasi Hills,Mawphlang,134,0,11,472,0,2,136,18,6,821,327,12,940,604,44,4174,3590,59,4522,4522
Meghalaya,East Khasi Hills,Mawryngkneng,152,0,6,989,0,4,1171,136,5,517,185,4,440,290,8,1739,1560,125,12929,12929
Meghalaya,East Khasi Hills,Mawsynram,173,0,0,0,0,31,1749,211,22,1239,456,15,792,528,26,2513,2233,79,6059,6059
Meghalaya,East Khasi Hills,Mylliem,95,0,0,0,0,3,550,11,4,4782,2008,5,1843,1051,15,3615,3118,68,7888,7888
Meghalaya,East Khasi Hills,Pynursla,138,0,17,745,0,15,2634,181,6,593,227,5,826,526,35,6878,5977,60,4608,4608
Meghalaya,East Khasi Hills,Shella Bholaganj,171,0,15,1106,0,5,286,33,4,273,83,12,1317,750,34,4629,4304,101,5950,5950
Meghalaya,East Khasi Hills,SOHIONG,157,0,9,351,0,6,834,10,4,387,146,9,575,369,43,3712,3317,86,6249,6249
Meghalaya,EASTERN WEST KHASI HILLS,MAIRANG,251,0,3,584,0,2,103,3,4,1501,528,4,2726,1536,1,230,218,237,16860,16860
Meghalaya,EASTERN WEST KHASI HILLS,MAWTHADRAISHAN,80,0,0,0,0,1,95,17,2,237,113,3,355,206,3,458,431,71,6943,6943
Meghalaya,North Garo Hills,Adokgre,50,0,5,169,0,1,31,6,4,181,77,10,540,303,12,673,583,18,1032,1032
Meghalaya,North Garo Hills,Bajengdoba,192,0,1,47,0,14,1097,128,4,342,104,5,295,187,3,257,231,165,11548,11548
Meghalaya,North Garo Hills,Kharkutta,171,0,12,778,0,7,393,43,11,436,194,16,846,541,40,2885,2596,85,4841,4841
Meghalaya,North Garo Hills,Resubelpara,227,0,13,656,0,3,530,71,6,403,144,24,1727,1176,47,3716,3333,134,7665,7665
Meghalaya,Ri Bhoi,BHOIRYMBONG,265,0,0,0,0,1,31,1,4,431,176,3,235,147,11,1154,1007,246,13648,13648
Meghalaya,Ri Bhoi,Jirang,152,0,2,59,0,1,19,1,0,0,0,7,268,168,13,984,895,129,6359,6359
Meghalaya,Ri Bhoi,Umling,338,0,59,7914,0,0,0,0,1,96,37,6,566,383,9,618,576,263,12324,12324
Meghalaya,Ri Bhoi,Umsning,365,0,11,306,0,2,117,25,7,611,215,6,561,329,9,696,604,330,15921,15921
Meghalaya,South Garo Hills,Baghmara,232,1,3,141,0,3,171,30,7,349,138,5,368,220,27,1929,1771,186,9670,9670
