State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Odisha,Anugul,Anugul,1172,3,461,10563,0,25,2583,293,6,336,156,30,987,587,35,2165,1985,612,24241,24241
Odisha,Anugul,Athmallik,776,1,439,12375,0,77,3483,338,38,2178,795,38,1812,1082,57,3471,3006,126,5227,5227
Odisha,Anugul,Banarpal,547,0,111,4575,0,15,2672,231,7,1850,724,5,1067,656,13,3160,2892,396,38121,38121
Odisha,Anugul,Chhendipada,801,0,2,7,0,1,5,1,2,45,19,6,120,67,17,1531,1477,773,37674,37674
Odisha,Anugul,Kaniha,950,0,55,1986,0,7,327,50,8,398,170,67,3134,2075,41,1307,1149,772,36765,36765
Odisha,Anugul,Kishorenagar,875,7,677,17265,0,30,1321,162,11,345,143,23,979,612,50,4724,4340,77,3265,3265
Odisha,Anugul,Palalahada,1009,0,73,1319,0,42,1492,155,39,1135,438,123,5336,3487,154,8126,7228,578,19615,19615
Odisha,Anugul,Talacher,245,0,2,59,0,2,26,2,8,1107,402,19,6325,3984,31,8248,7697,183,23716,23716
Odisha,Balangir,Agalpur,190,0,34,1968,0,8,872,150,0,0,0,21,2904,1774,22,3456,3005,105,18203,18203
Odisha,Balangir,Balangir,189,8,70,6385,0,6,1636,193,11,2202,811,12,1752,1144,23,4181,3629,59,8742,8742
Odisha,Balangir,Bangomunda,183,0,63,7359,0,9,1154,167,8,1023,395,20,4892,3072,24,7292,6338,59,5738,5738
Odisha,Balangir,Belpara,322,0,26,947,0,10,1027,137,26,5520,2065,39,6286,3920,46,8912,7586,175,12326,12326
Odisha,Balangir,Deogaon,152,0,62,7031,0,8,2671,293,7,1787,770,18,3608,2241,27,5902,5176,30,4443,4443
Odisha,Balangir,Gudvella,190,0,109,5340,0,9,2408,205,9,1071,406,8,1309,824,11,2199,1924,44,1934,1934
Odisha,Balangir,Khaprakhol,304,0,55,1240,0,5,312,58,13,629,212,33,2926,1915,55,8752,7837,143,12054,12054
Odisha,Balangir,Loisinga,212,14,57,4387,0,9,2171,289,6,1513,482,11,2640,1672,19,2415,2189,96,12484,12484
Odisha,Balangir,Muribahal,189,0,90,8929,0,18,4433,439,11,2658,1102,28,6524,4089,20,4790,4251,22,2892,2892
Odisha,Balangir,Patnagarh,278,1,82,3735,0,10,1879,254,19,2409,921,36,5430,3476,63,13346,11402,67,8374,8374
Odisha,Balangir,Puintala,361,0,297,18666,0,9,1011,96,7,461,199,10,1310,807,8,1179,1038,30,3779,3779
Odisha,Balangir,Saintala,211,0,103,9686,0,21,5006,448,12,3482,1299,12,2555,1622,19,4202,3615,44,7595,7595
Odisha,Balangir,Titlagarh,188,0,88,8826,0,15,4310,423,7,2773,1012,19,6249,4296,20,6121,5392,39,5592,5592
Odisha,Balangir,Turekela,224,2,166,11659,0,13,3493,242,2,323,106,8,1613,890,15,2806,2495,18,2417,2417
Odisha,Baleshwar,Bahanaga,170,0,2,110,0,1,565,35,3,307,127,3,1010,683,51,14093,13405,110,18814,18814
Odisha,Baleshwar,Baleshwar,378,1,45,5728,0,20,3964,620,14,4168,1572,21,2193,1378,42,12342,11274,235,41131,41131
Odisha,Baleshwar,Baliapal,347,2,45,2325,0,9,910,86,16,2799,1181,16,3875,2587,45,10128,9399,214,32422,32422
Odisha,Baleshwar,Basta,319,5,29,3024,0,25,5795,419,16,3616,1319,16,3495,2136,17,3893,3262,211,30823,30823
Odisha,Baleshwar,Bhograi,467,0,33,4274,0,6,691,43,14,2265,896,11,3261,2031,59,17313,15871,344,55173,55173
Odisha,Baleshwar,Jaleswar,464,0,124,6904,0,29,3457,502,31,4798,1838,21,2433,1619,63,10972,10280,196,19330,19330
