State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Rajasthan,Ajmer,Ajmer Rural,214,0,77,9621,0,10,3300,432,8,2971,1256,17,6574,3952,16,4306,3840,86,21707,21707
Rajasthan,Ajmer,Arain,110,0,52,4727,0,4,245,7,0,0,0,3,846,445,4,1567,1350,47,7502,7502
Rajasthan,Ajmer,Kishangarh Silora,377,1,295,19256,0,1,8,1,0,0,0,2,1248,748,1,652,650,77,13585,13585
Rajasthan,Ajmer,Pisangan,151,0,38,2368,0,9,1834,132,16,1984,762,7,1853,1257,14,3953,3462,67,15080,15080
Rajasthan,Ajmer,Srinagar,146,0,63,10957,0,1,39,6,0,0,0,1,52,36,1,280,267,80,14920,14920
Rajasthan,Alwar,Govindgarh,359,0,229,8671,0,10,1289,64,4,466,182,6,1172,714,12,1547,1422,98,6285,6285
Rajasthan,Alwar,Kathumar,151,10,87,8865,0,10,4916,305,8,2734,850,2,788,540,0,0,0,34,6379,6379
Rajasthan,Alwar,Laxmangarh,217,0,134,9517,0,8,2012,220,6,1823,759,15,2264,1360,12,2354,2085,42,4027,4027
Rajasthan,Alwar,Malkheda,349,0,109,5106,0,19,1082,122,23,3030,1206,24,4003,2505,14,5140,4472,160,13019,13019
Rajasthan,Alwar,Rajgarh,507,0,314,12707,0,15,716,85,11,875,330,10,1737,1053,12,2247,1920,145,10316,10316
Rajasthan,Alwar,Ramgarh,409,2,192,13216,0,10,1407,207,15,2304,934,22,4421,2677,29,6254,5623,139,10384,10384
Rajasthan,Alwar,Reni,307,0,163,7130,0,4,206,22,7,1381,659,6,1071,729,10,1559,1324,117,7109,7109
Rajasthan,Alwar,Thanagazi,676,12,268,9659,0,84,4428,579,57,3445,1323,48,6163,3990,39,4078,3428,168,7441,7441
Rajasthan,Alwar,Umren,390,0,211,14705,0,13,4326,670,10,702,256,15,1329,849,18,2781,2345,123,11274,11274
Rajasthan,Anupgarh,Anupgarh,434,11,161,5756,0,28,1963,173,21,2461,909,27,2622,1645,44,7350,6622,142,9773,9773
Rajasthan,Anupgarh,Gharsana,533,14,79,2179,0,50,2458,219,28,1518,605,37,2102,1361,208,18746,17877,117,5414,5414
Rajasthan,Anupgarh,Raisinghnagar,326,1,30,878,0,7,852,110,14,1449,630,17,2529,1648,90,9358,8637,167,16160,16160
Rajasthan,Anupgarh,Vijainagar,267,0,27,860,0,9,548,58,14,1152,419,26,2619,1709,71,9055,8300,120,11013,11013
Rajasthan,Balotra,Baltora,356,0,134,10315,0,23,2086,172,12,1182,443,15,6124,4209,27,3042,2585,145,13259,13259
Rajasthan,Balotra,Baytoo,542,0,151,3220,0,30,911,92,18,689,247,25,1495,870,27,892,781,291,13183,13183
Rajasthan,Balotra,Gira,899,0,155,3977,0,43,1488,177,48,1548,568,50,1426,901,88,3302,2935,515,18074,18074
Rajasthan,Balotra,Kalyanpur,324,0,15,545,0,25,1092,132,32,2860,1035,30,2096,1333,46,3953,3494,176,10710,10710
Rajasthan,Balotra,Panyla Kla,280,159,121,4105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,Balotra,Patodi,389,1,30,934,0,11,416,54,9,533,215,12,497,324,51,3226,2939,275,11367,11367
Rajasthan,Balotra,Samdari,120,0,18,1392,0,10,1266,85,12,1229,471,18,6589,4205,28,12281,10390,34,4993,4993
Rajasthan,Balotra,Sindhari,433,55,315,11939,0,27,2185,210,10,427,148,1,75,49,7,1627,1309,18,1138,1138
Rajasthan,Balotra,Siwana,207,0,134,13304,0,50,4780,159,1,73,28,3,2666,1833,7,6557,6192,12,4830,4830
Rajasthan,Banswara,Anandpuri,242,0,206,24490,0,3,668,135,3,238,85,6,411,256,3,194,156,21,2558,2558
