State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Tripura,Dhalai,Ambassa,134,0,13,472,0,6,214,29,12,908,337,16,2215,1477,55,6803,6128,32,2634,2634
Tripura,Dhalai,Chawmanu,131,0,61,1947,0,6,230,25,5,274,107,16,1346,863,37,5134,4719,6,624,624
Tripura,Dhalai,Dumburnagar,141,0,9,440,0,6,372,28,11,860,338,22,1632,1034,39,4254,3801,54,5934,5934
Tripura,Dhalai,Durgachowmuhani,177,0,0,0,0,9,934,148,20,2232,882,26,3732,2392,35,5245,4707,87,7558,7558
Tripura,Dhalai,Ganganagar,64,0,1,40,0,0,0,0,6,385,148,12,648,436,14,843,736,31,1254,1254
Tripura,Dhalai,Manu,252,0,36,1796,0,11,952,85,14,1405,478,32,2789,1871,40,4686,4191,119,13704,13704
Tripura,Dhalai,Raishyabari,79,0,1,72,0,2,70,16,2,109,38,13,1123,711,26,1766,1564,35,2829,2829
Tripura,Dhalai,Salema,115,0,2,48,0,0,0,0,4,579,235,19,2504,1654,45,7227,6366,45,3017,3017
Tripura,Gomati,Amarpur,201,0,14,296,0,9,419,57,15,1040,426,46,3981,2519,64,6080,5413,53,3318,3318
Tripura,Gomati,Kakraban,128,0,2,9,0,1,118,21,6,678,298,26,3821,2396,40,5423,4779,53,7878,7878
Tripura,Gomati,Karbook,228,0,11,472,0,10,498,37,13,644,206,16,921,588,39,2749,2325,139,6989,6989
Tripura,Gomati,Killa,92,0,14,640,0,4,221,14,6,622,271,16,2085,1309,36,3471,3238,16,1571,1571
Tripura,Gomati,Matabari,184,0,4,264,0,13,1078,163,19,3374,1443,21,2716,1642,28,3763,3330,99,14328,14328
Tripura,Gomati,Ompi,161,0,7,192,0,4,107,12,14,547,218,22,914,590,57,4050,3547,57,2790,2790
Tripura,Gomati,Silachari,58,0,3,83,0,2,41,4,5,341,139,6,722,493,17,1430,1286,25,1642,1642
Tripura,Gomati,Tepania,100,0,0,0,0,4,566,101,11,1519,590,14,2334,1428,15,2254,2021,56,8153,8153
Tripura,Khowai,Kalyanpur,159,0,5,14,0,4,438,84,4,527,223,9,826,563,19,2379,2151,118,6506,6506
Tripura,Khowai,Khowai,158,0,0,0,0,9,975,171,16,1526,628,18,2115,1347,26,2607,2310,89,8269,8269
Tripura,Khowai,Mungiakami,191,0,20,448,0,9,279,28,9,286,98,28,1056,666,41,1899,1684,84,2570,2570
Tripura,Khowai,Padmabil,224,0,7,61,0,1,23,5,6,162,68,12,313,191,71,3852,3505,127,4722,4722
Tripura,Khowai,Teliamura,231,0,10,130,0,10,777,96,21,2559,983,31,3421,2100,52,6151,5463,107,6905,6905
Tripura,Khowai,Tulashikhar,210,0,6,63,0,9,383,52,21,898,361,41,2191,1442,64,3987,3492,69,3837,3837
Tripura,North Tripura,Damcherra,87,0,1,1,0,0,0,0,1,29,12,10,661,450,24,1415,1220,51,4414,4414
Tripura,North Tripura,Dasda,144,0,23,1542,0,4,227,14,2,121,54,3,152,98,56,4297,3996,56,8592,8592
Tripura,North Tripura,Jampui Hills,27,0,5,396,0,1,52,6,1,74,31,2,183,111,6,645,560,12,1411,1411
Tripura,North Tripura,Jubarajnagar,126,0,0,0,0,3,227,14,10,830,294,11,1293,802,25,3480,3194,77,7837,7837
Tripura,North Tripura,Kadamtala,86,0,4,530,0,9,1401,158,11,1931,769,16,3246,1902,14,2339,2081,32,4727,4727
Tripura,North Tripura,Kalacherra,76,0,0,0,0,5,1000,119,5,1033,420,9,1166,756,18,3211,2799,39,6224,6224
Tripura,North Tripura,Laljuri,80,0,10,514,0,6,474,47,2,244,79,2,222,138,5,803,787,55,6786,6786
