State,District,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations,PWS Habitations
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage = 0 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >0 and <25 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=25 and <50 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=50 and <75 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=75 and <100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %,With FHTC Coverage >=100 %
,,Block Name,Total Habitations as on 01/04/2024,Non PWS Habitations,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons,Habs,House Holds,House Connectons
,,Total,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"8,827","8,827"
Uttarakhand,Almora,Bhaisiya Chhana,345,0,17,251,0,6,127,13,5,166,65,5,106,70,7,205,193,305,4956,4956
Uttarakhand,Almora,Bhikiyasain,319,0,0,0,0,2,57,13,1,72,32,0,0,0,0,0,0,316,7366,7366
Uttarakhand,Almora,Chaukhutiya,293,0,13,199,0,23,623,62,9,449,155,23,731,466,21,890,770,204,6623,6623
Uttarakhand,Almora,Dhauladevi,768,1,19,270,0,9,104,13,11,153,55,13,243,159,46,1456,1358,669,10128,10128
Uttarakhand,Almora,Dwarahat,465,0,21,243,0,14,548,55,14,289,108,26,1340,874,34,1518,1390,356,10928,10928
Uttarakhand,Almora,Hawalbag,437,0,10,334,0,25,910,117,16,1622,732,13,284,182,36,2198,2026,337,11109,11109
Uttarakhand,Almora,Lamgara,540,3,27,313,0,10,210,13,18,514,189,16,278,173,26,572,506,440,8570,8570
Uttarakhand,Almora,Sult,645,0,10,133,0,26,404,43,18,353,118,19,514,343,33,1340,1196,539,9830,9830
Uttarakhand,Almora,Syaldey,417,0,5,43,0,17,302,25,15,697,266,15,628,389,25,973,879,340,7962,7962
Uttarakhand,Almora,Takula,453,1,23,449,0,15,552,61,8,345,119,16,527,311,27,696,613,363,9153,9153
Uttarakhand,Almora,Tarikhet,478,2,20,301,0,28,854,78,22,718,287,42,1139,723,64,2663,2359,300,8890,8890
Uttarakhand,Bageshwar,Bageshwar,1034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,20642,20642
Uttarakhand,Bageshwar,Garur,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666,16030,16030
Uttarakhand,Bageshwar,Kapkote,1018,0,0,0,0,0,0,0,2,6,2,4,41,27,8,116,100,1004,17824,17824
Uttarakhand,Chamoli,Dasholi,395,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393,8658,8658
Uttarakhand,Chamoli,DEWAL,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,6332,6332
Uttarakhand,Chamoli,Gairsain,437,0,1,16,0,0,0,0,0,0,0,1,17,11,2,60,57,433,13403,13403
Uttarakhand,Chamoli,Ghat,413,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,9168,9168
Uttarakhand,Chamoli,Joshimath,224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,6896,6896
Uttarakhand,Chamoli,Karnaprayag,376,0,0,0,0,0,0,0,0,0,0,0,0,0,1,165,153,375,9598,9598
Uttarakhand,Chamoli,Narayanbagar,349,0,0,0,0,1,14,2,0,0,0,0,0,0,1,21,20,347,8185,8185
Uttarakhand,Chamoli,Pokhari,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,6800,6800
Uttarakhand,Chamoli,Tharali,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,7195,7195
Uttarakhand,Champawat,Barakot,278,0,0,0,0,2,57,12,3,25,10,8,131,77,10,269,247,255,4764,4764
Uttarakhand,Champawat,Champawat,969,0,2,4,0,0,0,0,2,20,8,6,68,39,5,89,76,954,19901,19901
Uttarakhand,Champawat,Lohaghat,432,0,1,5,0,1,31,2,3,91,34,7,172,119,6,215,187,414,8505,8505
Uttarakhand,Champawat,Pati,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,10793,10793
Uttarakhand,Dehradun,Chakrata,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,11389,11389
Uttarakhand,Dehradun,Doiwala,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,34111,34111
